Index,CODA,Werklijst,Ugentnummer,Staalnummer,FAVV,Sample,Colony Nr.,Province,Status,Race,Postcode,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
134,2598,16,17,2012/22604,2102120128,12_134,4,Oost. Vl.,WL,Carnica,9200,4.098112,51.0312293,Dendermonde,1.18501307,Thymol,Thymol,None,12
135,533,4,5,2012/21348,2160120006,12_135,1,Vl.Br.,Healthy,Carnica,1840,4.299072942,51.0122466,Londerzeel,0,OA,OA,Thymol,12
136,533,4,6,2012/21349,2160120007,12_136,2,Vl.Br.,Healthy,Carnica,1840,4.299072942,51.0122466,Londerzeel,2.40182218,OA,OA,Thymol,12
137,533,4,7,2012/21350,2160120008,12_137,3,Vl.Br.,Healthy,Carnica,1840,4.299072942,51.0122466,Londerzeel,2.927622662,OA,OA,Thymol,12
138,533,4,8,2012/21352,2160120009,12_138,4,Vl.Br.,Healthy,Carnica,1840,4.299072942,51.0122466,Londerzeel,0,OA,OA,Thymol,12
139,2699,19,3,2012/22921,2460120086,12_139,1,West. Vl.,WL,Buckfast,8450,2.972576947,51.23890495,Bredene,4.67222021,Thymol,Thymol,None,12
14,1699,12,61,2012/22188,2196120071,12_14,2,Antwerpen,WL,Carnica,2550,4.4456359,51.134377,Kontich,0,OA,OA,OA,12
140,2699,19,4,2012/22925,2460120087,12_140,2,West. Vl.,WL,Buckfast,8450,2.972576947,51.23890495,Bredene,0.9910086,Thymol,Thymol,None,12
141,2876,16,5,2012/22571,2460120072,12_141,1,West. Vl.,Healthy,Buckfast,8600,2.8647185,51.0333408,Diksmuide,2.476340694,Thymol,None,None,12
142,2876,16,6,2012/22572,2460120073,12_142,2,West. Vl.,Healthy,Buckfast,8600,2.8647185,51.0333408,Diksmuide,2.750554547,Thymol,None,None,12
143,1789,13,7,2012/22323,2550120144,12_143,3,Limburg,WL,Carnica,3980,5.0893974,51.0681628,Tessenderlo,20,Thymol,OA,None,12
144,1789,13,9,2012/22325,2550120145,12_144,4,Limburg,WL,Carnica,3980,5.0893974,51.0681628,Tessenderlo,14.28571429,Thymol,OA,None,12
145,1468,4,13,2012/21358,1081120094,12_145,3,Vl-Br.,Healthy,Carnica,3450,5.101581003,50.89519195,Geetbets,1.031800191,OA,OA,None,12
146,1468,4,14,2012/21359,1081120095,12_146,4,Vl-Br.,Healthy,Carnica,3450,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
147,2292,12,43,2012/22136,2550120132,12_147,3,Limburg,WL,Carnica,3670,5.5540751,51.0933149,Meeuwen-Gruitrode,1.287553648,MO,None,None,12
148,2292,12,44,2012/22137,2550120133,12_148,4,Limburg,WL,Carnica,3670,5.5540751,51.0933149,Meeuwen-Gruitrode,2.879719052,MO,None,None,12
149,1468,4,15,2012/21360,1081120096,12_149,5,Vl-Br.,Healthy,Carnica,3450,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
15,1762,4,1,2012/21342,1081120098,12_15,1,Vl-Br.,Healthy,Carnica,3360,4.771431808,50.8241245,Bierbeek,0.385426076,Thymol,OA,Thymol,12
150,1468,4,16,2012/21361,1081120097,12_150,6,Vl-Br.,Healthy,Carnica,3450,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
16,1762,4,2,2012/21344,1081120099,12_16,2,Vl-Br.,WL,Carnica,3360,4.771431808,50.8241245,Bierbeek,1.42074364,Thymol,OA,Thymol,12
17,2470,4,45,2012/21428,2196120036,12_17,1,Antwerpen,WL,Carnica,2640,4.4593335,51.1741789,Mortsel,1.916001388,MO,Heat,None,12
18,2470,4,49,2012/21433,2196120037,12_18,2,Antwerpen,Healthy,Carnica,2640,4.4593335,51.1741789,Mortsel,1.35678392,MO,Heat,None,12
