Index,CODA,Werklijst,Ugentnummer,Staalnummer,FAVV,Sample,Colony Nr.,Province,Status,Race,Postcode,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
263,789,5,38,,2460130159,13_113,1,West-Vl.,WL,Swarm,8970,2.722259264,50.84362245,Poperinge,16.4870148,None,None,None,13
264,789,5,39,,2460130160,13_114,2,West-Vl.,WL,Swarm,8970,2.722259264,50.84362245,Poperinge,6.605465414,None,None,None,13
265,789,5,40,,2460130161,13_115,3,West-Vl.,WL,Swarm,8970,2.722259264,50.84362245,Poperinge,4.491032477,None,None,None,13
266,328,4,74,,2460130143,13_116,1,West-Vl.,Healthy,Carnica,8900,2.891477451,50.851808,Ieper,0.307692308,OA,OA,None,13
267,328,4,75,,2460130144,13_117,2,West-Vl.,Healthy,Carnica,8900,2.891477451,50.851808,Ieper,0,OA,OA,None,13
268,328,4,76,,2460130145,13_118,3,West-Vl.,Healthy,Carnica,8900,2.891477451,50.851808,Ieper,1.55993118,OA,OA,None,13
269,2772,2,88,,2196130060,13_119,1,Antwerpen,WL,Buckfast,2560,4.670951732,51.1611887,Nijlen,0.85860575,OA,None,None,13
162,1270,4,43,,2460130128,13_12,2,West.Vl.,WL,Carnica,8755,3.37894958,51.062755,Ruiselede,2.331439103,None,None,None,13
270,2772,2,86,,2196130061,13_120,2,Antwerpen,WL,Buckfast,2560,4.670951732,51.1611887,Nijlen,1.753744976,OA,None,None,13
271,2772,2,84,,2196130105,13_121,3,Antwerpen,WL,Buckfast,2560,4.670951732,51.1611887,Nijlen,7.878787879,OA,None,None,13
272,242,1,55,,2196130076,13_122,1,Antwerpen,Healthy,Carnica,3980,5.0893974,51.0681628,Tessenderlo,0,OA,OA,None,13
273,242,1,56,,2196130077,13_123,2,Antwerpen,Healthy,Carnica,3980,5.0893974,51.0681628,Tessenderlo,0.314063369,OA,OA,None,13
274,242,1,57,,2196130078,13_124,3,Antwerpen,Healthy,Carnica,3980,5.0893974,51.0681628,Tessenderlo,0.331910858,OA,OA,None,13
275,2941,3,1,,2196130022,13_125,1,Antwerpen,WL,Carnica,2880,4.242326005,51.0924649,Bornem,0.523047977,OA,None,None,13
276,2941,3,2,,2196130023,13_126,2,Antwerpen,WL,Carnica,2880,4.242326005,51.0924649,Bornem,1.601750547,OA,None,None,13
277,2941,3,3,,2196130046,13_127,3,Antwerpen,WL,Carnica,2880,4.242326005,51.0924649,Bornem,0.490322581,OA,None,None,13
278,2766,5,3,,2196130117,13_128,1,Antwerpen,Healthy,Carnica,2960,4.597238179,51.3347679,Brecht,11.2,OA,None,OA,13
279,2766,5,4,,2196130118,13_129,2,Antwerpen,Healthy,Carnica,2960,4.597238179,51.3347679,Brecht,4.246221895,OA,None,OA,13
163,2271,2,8,,1081130087,13_13,1,Vl.Br.,WL,Carnica,3040,4.629029113,50.81115135,Neerijse,1.479214486,OA,OA,OA,13
280,2766,5,5,,2196130119,13_130,3,Antwerpen,Healthy,Carnica,2960,4.597238179,51.3347679,Brecht,0.661111111,OA,None,OA,13
281,625,4,55,,2460130130,13_131,1,West-Vl.,WL,Unknown,8770,3.261718974,50.92196635,Ingelmunster,5.428466348,None,None,None,13
282,625,4,56,,2460130131,13_132,2,West-Vl.,WL,Unknown,8770,3.261718974,50.92196635,Ingelmunster,4.605678233,None,None,None,13
283,328,4,77,,2460130146,13_133,4,West-Vl.,Healthy,Carnica,8900,2.891477451,50.851808,Ieper,0,OA,OA,None,13
284,328,4,78,,2460130147,13_134,5,West-Vl.,Healthy,Carnica,8900,2.891477451,50.851808,Ieper,0,OA,OA,None,13
285,1993,1,28,,1081130080,13_135,1,Vl.Br.,WL,Carnica,3350,5.0283876,50.843352,Neerlinter,5.097345133,None,OA,None,13
286,1993,1,29,,1081130081,13_136,2,Vl.Br.,WL,Carnica,3350,5.0283876,50.843352,Neerlinter,1.334100058,None,OA,None,13
287,270,4,1,,1081130098,13_137,1,Vl.Br.,Healthy,Carnica,3001,4.693130751,50.85172925,Heverlee,0.621052632,OA,OA,OA,13
288,270,4,2,,1081130099,13_138,2,Vl.Br.,Healthy,Carnica,3001,4.693130751,50.85172925,Heverlee,5.581850824,OA,OA,OA,13
289,806,2,47,,1081130091,13_139,2,Vl.Br.,WL,Carnica,3270,4.975432566,50.9689147,Scherpenheuvel-Zichem,10.16286645,OA,Thymol,None,13
164,2271,2,7,,1081130088,13_14,2,Vl.Br.,Healthy,Carnica,3040,4.629029113,50.81115135,Neerijse,0,OA,OA,OA,13
290,806,2,50,,1081130092,13_140,3,Vl.Br.,WL,Carnica,3270,4.975432566,50.9689147,Scherpenheuvel-Zichem,0.941644562,OA,Thymol,None,13
291,1520,2,80,,2196130098,13_141,5,Antwerpen,WL,Carnica,2230,4.901808003,51.0554081,Herselt,4.578034682,OA+Fluvalinate,None,None,13
292,608,2,56,,2460130115,13_142,3,West.Vl.,WL,Carnica,8970,2.722259264,50.84362245,Poperinge,3.200449186,OA+Thymol,None,None,13
293,538,2,68,,2160130016,13_143,1,Vl.Br.,WL,Carnica,3470,5.068392496,50.90566935,Kortenaken,0.470196224,Amitraz,OA,None,13
294,179,1,33,,2160130012,13_144,3,Vl.Br.,Healthy,Carnica,3391,4.886378182,50.9242724,Tielt-Winge,12.20591661,None,Clorophenyl,None,13
295,179,1,34,,2160130015,13_145,6,Vl.Br.,Healthy,Carnica,3391,4.886378182,50.9242724,Tielt-Winge,10.2524615,None,Clorophenyl,None,13
296,2315,2,72,,2196130088,13_146,2,Antwerpen,Healthy,Carnica,2900,4.4980446,51.2516344,Schoten,0.321019108,OA+Amitraz,OA,Thymol,13
297,2263,1,25,,2460130089,13_147,3,West.Vl.,Healthy,Carnica,8800,3.124765,50.9444948,Roeselare,0,Thymol,OA,OA,13
298,1841,1,40,,1081130086,13_148,5,Vl.Br.,Healthy,Carnica,3150,4.6386824,50.9769286,Haacht,5.210263721,OA,OA,None,13
299,237,4,23,,2460130120,13_149,3,West.Vl.,Healthy,Unknown,8570,3.463734552,50.844003,Anzegem,0.56812933,Thymol,OA,None,13
165,35,4,58,,2460130133,13_15,1,West.Vl.,Healthy,Carnica,8800,3.124765,50.9444948,Roeselare,0.587560248,OA,OA,OA,13
300,1270,4,44,,2460130129,13_150,3,West.Vl.,Healthy,Unknown,8570,3.463734552,50.844003,Anzegem,1.944714544,None,None,None,13
166,35,4,59,,2460130134,13_16,2,West.Vl.,WL,Carnica,8800,3.124765,50.9444948,Roeselare,7.108433735,OA,OA,OA,13
167,1207,2,39,,2014130068,13_17,1,Oost. Vl.,Healthy,Carnica,9400,4.0242373,50.8353611,Ninove,5.631578947,OA,None,None,13
168,1207,2,38,,2014130069,13_18,2,Oost. Vl.,WL,Carnica,9400,4.0242373,50.8353611,Ninove,4.106292304,OA,None,None,13
169,1327,4,62,,2014130099,13_19,1,Oost. Vl.,Healthy,Buckfast,9340,3.9775435,50.9660758,Lede,0.524849048,None,None,None,13
152,1063,6,14,,4231130037,13_2,2,Limburg,WL,Carnica,3990,5.449157219,51.10874,Peer,0.329520697,OA+Thymol,OA,OA,13
170,1327,4,63,,2014130100,13_20,2,Oost. Vl.,WL,Buckfast,9340,3.9775435,50.9660758,Lede,0,None,None,None,13
171,1375,2,15,,2102130118,13_21,1,Oost. Vl.,WL,Carnica,9968,3.756807666,51.23004155,Assenede,12.61686747,Thymol,None,Thymol,13
172,1375,2,16,,2102130119,13_22,2,Oost. Vl.,Healthy,Carnica,9968,3.756807666,51.23004155,Assenede,9.18931368,Thymol,None,Thymol,13
173,1672,2,40,,2460130106,13_23,1,West.Vl.,Healthy,Hybrid,8900,2.891477451,50.851808,Ieper,0.199425384,OA,OA,None,13
174,1672,2,43,,2460130110,13_24,5,West.Vl.,WL,Hybrid,8900,2.891477451,50.851808,Ieper,1.167664671,OA,OA,None,13
175,2214,4,48,,2550130131,13_25,1,Limburg,Healthy,Queens,3800,5.203424912,50.82694775,Sint-Truiden,7.53722795,OA+Amitraz,None,None,13
176,2214,4,53,,2550130136,13_26,6,Limburg,WL,Queens,3800,5.203424912,50.82694775,Sint-Truiden,31.96695922,OA+Amitraz,None,None,13
177,2263,1,26,,2460130087,13_27,1,West.Vl.,WL,Carnica,8800,3.124765,50.9444948,Roeselare,1.257171364,Thymol,OA,OA,13
178,2263,1,27,,2460130088,13_28,2,West.Vl.,Healthy,Carnica,8800,3.124765,50.9444948,Roeselare,0.968150179,Thymol,OA,OA,13
179,2315,2,74,,2196130087,13_29,1,Antwerpen,Healthy,Carnica,2900,4.4980446,51.2516344,Schoten,0,OA+Amitraz,OA,Thymol,13
153,1463,2,53,,1081130096,13_3,1,Vl.Br.,WL,Carnica,3200,4.8245687,50.9841594,Aarschot,0.56160209,Thymol,OA+Thymol,None,13
180,2315,2,67,,2196130092,13_30,6,Antwerpen,WL,Carnica,2900,4.4980446,51.2516344,Schoten,0.608974359,OA+Amitraz,OA,Thymol,13
181,2379,2,21,,2102130124,13_31,1,Oost. Vl.,Healthy,Unknown,9185,3.8574284,51.1701927,Wachtebeke,1.298543689,Thymol,None,None,13
182,2379,2,25,,2102130128,13_32,5,Oost. Vl.,WL,Unknown,9185,3.8574284,51.1701927,Wachtebeke,0.867093106,Thymol,None,None,13
183,2537,4,15,,2550130145,13_33,1,Limburg,Healthy,Carnica,3620,5.6513208,50.8892784,Lanaken,0.756748323,OA+Thymol,None,Thymol,13
184,2537,4,20,,2550130150,13_34,6,Limburg,WL,Carnica,3620,5.6513208,50.8892784,Lanaken,0,OA+Thymol,None,Thymol,13
185,2561,2,33,,2014130074,13_35,1,Oost. Vl.,Healthy,Carnica,9520,3.852132137,50.91972825,Sint-Lievens-Houtem,4.175468851,Thymol,OA,Thymol,13
186,2561,2,30,,2014130077,13_36,4,Oost. Vl.,WL,Carnica,9520,3.852132137,50.91972825,Sint-Lievens-Houtem,6.660059465,Thymol,OA,Thymol,13
187,2653,3,19,,2102130140,13_37,1,Oost. Vl.,Healthy,Carnica,9170,4.1233014,51.2180687,Sint-Gillis-Waas,0.295320309,OA+Thymol,None,OA+Thymol,13
188,2653,3,24,,2102130145,13_38,6,Oost. Vl.,WL,Carnica,9170,4.1233014,51.2180687,Sint-Gillis-Waas,6.853902241,OA+Thymol,None,OA+Thymol,13
189,2855,6,1,,4231130022,13_39,1,Limburg,Healthy,Buckfast,3630,5.696445,50.9635024,Maasmechelen,0.782726046,OA+Fluvalinate,None,None,13
154,1463,2,52,,1081130097,13_4,2,Vl.Br.,Healthy,Carnica,3200,4.8245687,50.9841594,Aarschot,0,Thymol,OA+Thymol,None,13
190,2855,6,2,,4231130023,13_40,2,Limburg,WL,Buckfast,3630,5.696445,50.9635024,Maasmechelen,7.776777678,OA+Fluvalinate,None,None,13
191,608,2,54,,2460130113,13_41,1,West.Vl.,Healthy,Carnica,8970,2.722259264,50.84362245,Poperinge,6.21014114,OA+Thymol,None,None,13
192,608,2,55,,2460130114,13_42,2,West.Vl.,WL,Carnica,8970,2.722259264,50.84362245,Poperinge,13.77690802,OA+Thymol,None,None,13
193,163,2,83,,2196130106,13_43,1,Antwerpen,WL,Carnica,2018,4.3997081,51.2211097,Antwerpen,1.662396812,OA+Thymol,OA,OA+Thymol,13
194,163,2,81,,2196130107,13_44,2,Antwerpen,Healthy,Carnica,2018,4.3997081,51.2211097,Antwerpen,0,OA+Thymol,OA,OA+Thymol,13
195,163,2,82,,2196130108,13_45,3,Antwerpen,Healthy,Carnica,2018,4.3997081,51.2211097,Antwerpen,3.050379572,OA+Thymol,OA,OA+Thymol,13
196,163,2,87,,2196130109,13_46,4,Antwerpen,WL,Carnica,2018,4.3997081,51.2211097,Antwerpen,0.532425941,OA+Thymol,OA,OA+Thymol,13
197,349,1,2,,2014130059,13_47,1,Oost. Vl.,Healthy,Hybrid,9660,3.762778,50.7979739,Brakel,2.397969973,OA,OA,Thymol,13
198,349,1,10,,2014130060,13_48,2,Oost. Vl.,Healthy,Hybrid,9660,3.762778,50.7979739,Brakel,0,OA,OA,Thymol,13
199,349,1,3,,2014130061,13_49,3,Oost. Vl.,WL,Hybrid,9660,3.762778,50.7979739,Brakel,18.08890445,OA,OA,Thymol,13
155,1541,4,30,,1081130108,13_5,1,Vl.Br.,WL,Unknown,1840,4.2437819,51.0198436,Malderen,2.213899293,OA+Thymol,None,None,13
200,349,1,8,,2014130062,13_50,4,Oost. Vl.,WL,Hybrid,9660,3.762778,50.7979739,Brakel,2.505307856,OA,OA,Thymol,13
201,900,5,9,,2550130162,13_51,1,Limburg,Healthy,Carnica,3600,5.5001456,50.9654864,Genk,0.194115863,Thymol,None,None,13
202,900,5,10,,2550130163,13_52,2,Limburg,WL,Carnica,3600,5.5001456,50.9654864,Genk,4.758465011,Thymol,None,None,13
203,900,5,11,,2550130164,13_53,3,Limburg,WL,Carnica,3600,5.5001456,50.9654864,Genk,0,Thymol,None,None,13
204,900,5,12,,2550130165,13_54,4,Limburg,Healthy,Carnica,3600,5.5001456,50.9654864,Genk,0,Thymol,None,None,13
205,1841,1,36,,1081130082,13_55,1,Vl.Br.,Healthy,Carnica,3150,4.6386824,50.9769286,Haacht,2.049512021,OA,OA,None,13
206,1841,1,37,,1081130083,13_56,2,Vl.Br.,WL,Carnica,3150,4.6386824,50.9769286,Haacht,1.283311772,OA,OA,None,13
207,1841,1,38,,1081130084,13_57,3,Vl.Br.,Healthy,Carnica,3150,4.6386824,50.9769286,Haacht,1.6,OA,OA,None,13
208,1841,1,39,,1081130085,13_58,4,Vl.Br.,WL,Carnica,3150,4.6386824,50.9769286,Haacht,2.146389713,OA,OA,None,13
209,2005,2,2,,2460130093,13_59,1,West.Vl.,WL,Unknown,8490,3.090295389,51.1846386,Jabbeke,5.289595079,OA,None,None,13
156,1541,4,31,,1081130109,13_6,2,Vl.Br.,Healthy,Unknown,1840,4.2437819,51.0198436,Malderen,0.686419753,OA+Thymol,None,None,13
210,2005,2,4,,2460130096,13_60,4,West.Vl.,Healthy,Unknown,8490,3.090295389,51.1846386,Jabbeke,1.235849057,OA,None,None,13
211,2005,2,1,,2460130094,13_61,2,West.Vl.,Healthy,Unknown,8490,3.090295389,51.1846386,Jabbeke,0,OA,None,None,13
212,2005,2,3,,2460130095,13_62,3,West.Vl.,WL,Unknown,8490,3.090295389,51.1846386,Jabbeke,0.358476475,OA,None,None,13
213,80,5,20,,2550130176,13_63,1,Limburg,Healthy,Carnica,3990,5.449157219,51.10874,Peer,1.216533584,OA,OA,None,13
214,80,5,23,,2550130179,13_64,4,Limburg,WL,Carnica,3990,5.449157219,51.10874,Peer,5.532261822,OA,OA,None,13
215,80,5,21,,2550130177,13_65,2,Limburg,Healthy,Carnica,3990,5.449157219,51.10874,Peer,0.325623859,OA,OA,None,13
216,80,5,22,,2550130178,13_66,3,Limburg,WL,Carnica,3990,5.449157219,51.10874,Peer,0.853467211,OA,OA,None,13
217,179,1,32,,2160130009,13_67,1,Vl.Br.,Healthy,Carnica,3391,4.886378182,50.9242724,Tielt-Winge,7.987912365,None,Clorophenyl,None,13
218,179,1,35,,2160130014,13_68,5,Vl.Br.,WL,Carnica,3391,4.886378182,50.9242724,Tielt-Winge,3.893632593,None,Clorophenyl,None,13
219,179,1,31,,2160130013,13_69,4,Vl.Br.,WL,Carnica,3391,4.886378182,50.9242724,Tielt-Winge,10.96014493,None,Clorophenyl,None,13
157,2628,1,53,,2196130074,13_7,1,Antwerpen,WL,Carnica,2460,4.967812,51.2407915,Kasterlee,2.829937998,OA,OA,Thymol,13
220,179,1,30,,2160130011,13_70,2,Vl.Br.,Healthy,Carnica,3391,4.886378182,50.9242724,Tielt-Winge,5.094217024,None,Clorophenyl,None,13
221,1010,3,25,,2102130146,13_71,1,Oost. Vl.,WL,Carnica,9160,3.9911114,51.1042159,Lokeren,0,OA,None,None,13
222,1010,3,26,,2102130147,13_72,2,Oost. Vl.,Healthy,Carnica,9160,3.9911114,51.1042159,Lokeren,0,OA,None,None,13
223,1010,3,27,,2102130148,13_73,3,Oost. Vl.,WL,Carnica,9160,3.9911114,51.1042159,Lokeren,0.857580398,OA,None,None,13
224,1010,3,28,,2102130149,13_74,4,Oost. Vl.,Healthy,Carnica,9160,3.9911114,51.1042159,Lokeren,0,OA,None,None,13
225,1384,4,24,,2196130111,13_75,1,Antwerpen,WL,Carnica,2950,4.431231831,51.332759,Kapellen,9.363538296,None,None,None,13
226,1384,4,25,,2196130112,13_76,2,Antwerpen,Healthy,Carnica,2950,4.431231831,51.332759,Kapellen,0.725635593,None,None,None,13
227,1384,4,26,,2196130113,13_77,3,Antwerpen,Healthy,Carnica,2950,4.431231831,51.332759,Kapellen,2.374670185,None,None,None,13
228,1384,4,29,,2196130116,13_78,6,Antwerpen,WL,Carnica,2950,4.431231831,51.332759,Kapellen,0,None,None,None,13
229,2069,1,41,,2196130068,13_79,1,Antwerpen,Healthy,Carnica,2240,4.6595103,51.2147918,Zandhoven,3.750288484,OA,OA,None,13
158,2628,1,54,,2196130075,13_8,2,Antwerpen,Healthy,Carnica,2460,4.967812,51.2407915,Kasterlee,0.609625668,OA,OA,Thymol,13
230,2069,1,43,,2196130069,13_80,2,Antwerpen,WL,Carnica,2240,4.6595103,51.2147918,Zandhoven,0.635662538,OA,OA,None,13
231,2069,1,44,,2196130070,13_81,3,Antwerpen,Healthy,Carnica,2240,4.6595103,51.2147918,Zandhoven,20.63157895,OA,OA,None,13
232,2069,1,42,,2196130073,13_82,6,Antwerpen,WL,Carnica,2240,4.6595103,51.2147918,Zandhoven,2.790217017,OA,OA,None,13
233,1520,2,64,,2196130094,13_83,1,Antwerpen,WL,Carnica,2230,4.901808003,51.0554081,Herselt,2.239338183,OA+Fluvalinate,None,None,13
234,1520,2,63,,2196130095,13_84,2,Antwerpen,Healthy,Carnica,2230,4.901808003,51.0554081,Herselt,3.683700319,OA+Fluvalinate,None,None,13
235,1520,2,78,,2196130096,13_85,3,Antwerpen,Healthy,Carnica,2230,4.901808003,51.0554081,Herselt,0.296766271,OA+Fluvalinate,None,None,13
236,1520,2,79,,2196130097,13_86,4,Antwerpen,WL,Carnica,2230,4.901808003,51.0554081,Herselt,7.011214953,OA+Fluvalinate,None,None,13
237,1148,2,75,,2196130099,13_87,1,Antwerpen,WL,Carnica,2560,4.670951732,51.1611887,Nijlen,0,Amitraz,OA,None,13
238,1148,2,89,,2196130101,13_88,3,Antwerpen,Healthy,Carnica,2560,4.670951732,51.1611887,Nijlen,0,Amitraz,OA,None,13
239,1148,2,77,,2196130100,13_89,2,Antwerpen,WL,Carnica,2560,4.670951732,51.1611887,Nijlen,0,Amitraz,OA,None,13
159,237,4,21,,2460130118,13_9,1,West.Vl.,WL,Unknown,8570,3.463734552,50.844003,Anzegem,7.147685029,Thymol,OA,None,13
240,1148,2,91,,2196130103,13_90,5,Antwerpen,WL,Carnica,2560,4.670951732,51.1611887,Nijlen,0,Amitraz,OA,None,13
241,1148,2,90,,2196130102,13_91,4,Antwerpen,Healthy,Carnica,2560,4.670951732,51.1611887,Nijlen,0,Amitraz,OA,None,13
242,1148,2,85,,2196130104,13_92,6,Antwerpen,Healthy,Carnica,2560,4.670951732,51.1611887,Nijlen,0,Amitraz,OA,None,13
243,2137,3,4,,2196130050,13_93,1,Antwerpen,Healthy,Carnica,2880,4.242326005,51.0924649,Bornem,0.284823285,Thymol,None,None,13
244,2137,3,5,,2196130051,13_94,2,Antwerpen,WL,Carnica,2880,4.242326005,51.0924649,Bornem,3.530503979,Thymol,None,None,13
245,2137,3,6,,2196130052,13_95,3,Antwerpen,Healthy,Carnica,2880,4.242326005,51.0924649,Bornem,0.852526641,Thymol,None,None,13
246,2137,3,7,,2196130053,13_96,4,Antwerpen,Healthy,Carnica,2880,4.242326005,51.0924649,Bornem,5.880260818,Thymol,None,None,13
247,2137,3,8,,2196130054,13_97,5,Antwerpen,WL,Carnica,2880,4.242326005,51.0924649,Bornem,11.86477644,Thymol,None,None,13
248,2137,3,9,,2196130055,13_98,6,Antwerpen,WL,Carnica,2880,4.242326005,51.0924649,Bornem,3.727506427,Thymol,None,None,13
249,2307,1,9,,2102130112,13_99,1,Oost. Vl.,WL,Carnica,9270,3.8504738,51.029657,Laarne,0.513833992,OA+Thymol,Coumaphos,OA,13
,,,,,,,,,,,,,,,,,,,

