,Sample,Virus,ViralLoad,Province,Status,Race,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
48,12_104,bmlv,2571.83,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,0,OA,OA,OA,12
49,12_104,Unc,0,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,0,OA,OA,OA,12
50,12_105,Unc,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0.734693878,None,None,None,12
51,12_105,dwv,438569.78,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0.734693878,None,None,None,12
52,12_105,AMFV,43293.71,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0.734693878,None,None,None,12
53,12_105,vdv,1.1e+07,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0.734693878,None,None,None,12
54,12_105,thika,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0.734693878,None,None,None,12
55,12_105,bmlv,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0.734693878,None,None,None,12
56,12_105,thog,17286,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0.734693878,None,None,None,12
57,12_106,AMFV,5462.55,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,11.8575233,None,None,None,12
58,12_106,vdv,8.92e+08,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,11.8575233,None,None,None,12
59,12_106,dwv,1.43e+08,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,11.8575233,None,None,None,12
60,12_106,bmlv,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,11.8575233,None,None,None,12
61,12_106,thika,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,11.8575233,None,None,None,12
62,12_106,Unc,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,11.8575233,None,None,None,12
63,12_106,thog,1.2e+07,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,11.8575233,None,None,None,12
64,12_107,Unc,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,9.275825346,None,None,None,12
65,12_107,bmlv,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,9.275825346,None,None,None,12
66,12_107,thika,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,9.275825346,None,None,None,12
67,12_107,AMFV,58758.14,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,9.275825346,None,None,None,12
