,Sample,Virus,ViralLoad,Province,Status,Race,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
12_139,12_139,Cumulative,0.0,West. Vl.,WL,Buckfast,2.972576947,51.23890495,Bredene,4.67222021,Thymol,Thymol,None,12
12_14,12_14,Cumulative,5996791.5,Antwerpen,WL,Carnica,4.4456359,51.134377,Kontich,0,OA,OA,OA,12
12_140,12_140,Cumulative,68190.85,West. Vl.,WL,Buckfast,2.972576947,51.23890495,Bredene,0.9910086,Thymol,Thymol,None,12
12_141,12_141,Cumulative,62614.3,West. Vl.,Healthy,Buckfast,2.8647185,51.0333408,Diksmuide,2.476340694,Thymol,None,None,12
12_142,12_142,Cumulative,0.0,West. Vl.,Healthy,Buckfast,2.8647185,51.0333408,Diksmuide,2.750554547,Thymol,None,None,12
12_143,12_143,Cumulative,200972.31000000006,Limburg,WL,Carnica,5.0893974,51.0681628,Tessenderlo,20,Thymol,OA,None,12
12_144,12_144,Cumulative,21770000.0,Limburg,WL,Carnica,5.0893974,51.0681628,Tessenderlo,14.28571429,Thymol,OA,None,12
12_145,12_145,Cumulative,56652.890000000014,Vl-Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,1.031800191,OA,OA,None,12
12_146,12_146,Cumulative,0.0,Vl-Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
12_147,12_147,Cumulative,229052.81000000006,Limburg,WL,Carnica,5.5540751,51.0933149,Meeuwen-Gruitrode,1.287553648,MO,None,None,12
12_148,12_148,Cumulative,15610000.0,Limburg,WL,Carnica,5.5540751,51.0933149,Meeuwen-Gruitrode,2.879719052,MO,None,None,12
12_149,12_149,Cumulative,0.0,Vl-Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
12_15,12_15,Cumulative,0.0,Vl-Br.,Healthy,Carnica,4.771431808,50.8241245,Bierbeek,0.385426076,Thymol,OA,Thymol,12
12_150,12_150,Cumulative,48797.350000000006,Vl-Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
12_16,12_16,Cumulative,380800000.0,Vl-Br.,WL,Carnica,4.771431808,50.8241245,Bierbeek,1.42074364,Thymol,OA,Thymol,12
12_17,12_17,Cumulative,60802.49,Antwerpen,WL,Carnica,4.4593335,51.1741789,Mortsel,1.916001388,MO,Heat,None,12
12_18,12_18,Cumulative,13582.660000000003,Antwerpen,Healthy,Carnica,4.4593335,51.1741789,Mortsel,1.35678392,MO,Heat,None,12
12_19,12_19,Cumulative,18960.55,West-Vl,Healthy,Buckfast,3.073207597,50.89006565,Moorslede,0,OA,OA,OA,12
12_2,12_2,Cumulative,4641900.62,Oost-Vl,WL,Carnica,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
12_20,12_20,Cumulative,0.0,West-Vl,WL,Buckfast,3.073207597,50.89006565,Moorslede,1.220680958,OA,OA,OA,12
12_21,12_21,Cumulative,0.0,Vl-Br.,Healthy,Carnica,4.5385226,50.7729254,Overijse,6.574172892,None,None,None,12
12_22,12_22,Cumulative,0.0,Vl-Br.,WL,Carnica,4.5385226,50.7729254,Overijse,3.954455879,None,None,None,12
12_23,12_23,Cumulative,0.0,Limburg,Healthy,Carnica,5.0893974,51.0681628,Tessenderlo,0,Thymol,OA,None,12
12_24,12_24,Cumulative,0.0,Limburg,WL,Carnica,5.0893974,51.0681628,Tessenderlo,3.388429752,Thymol,OA,None,12
12_25,12_25,Cumulative,0.0,Limburg,Healthy,Carnica,5.5540751,51.0933149,Meeuwen-Gruitrode,7.574686797,MO,None,None,12
12_26,12_26,Cumulative,55075.649999999994,Limburg,WL,Carnica,5.5540751,51.0933149,Meeuwen-Gruitrode,3.151790217,MO,None,None,12
12_27,12_27,Cumulative,0.0,Oost-Vl,Healthy,Carnica,3.4154538,51.2263133,Maldegem,0,OA,None,OA,12
12_28,12_28,Cumulative,0.0,Oost-Vl,WL,Carnica,3.4154538,51.2263133,Maldegem,4.6484375,OA,None,OA,12
12_29,12_29,Cumulative,107055.69,Oost-Vl,WL,Carnica,5.147209971,51.0067479,Meldert,0,Thymol,OA,Thymol,12
12_3,12_3,Cumulative,0.0,Antwerpen,Healthy,Carnica,4.477387,51.1486117,Hove,0,OA,OA,OA,12
12_30,12_30,Cumulative,4847343.62,Oost-Vl,Healthy,Carnica,5.147209971,51.0067479,Meldert,2.802112457,Thymol,OA,Thymol,12
12_31,12_31,Cumulative,714132.3,Limburg,WL,Carnica,5.5001456,50.9654864,Genk,11.66243194,OA+Thymol,Thymol,OA+Thymol,12
12_32,12_32,Cumulative,33530000.0,Limburg,WL,Carnica,5.5001456,50.9654864,Genk,36.21331545,OA+Thymol,Thymol,OA+Thymol,12
12_33,12_33,Cumulative,0.0,Limburg,Healthy,Carnica,5.5001456,50.9654864,Genk,1.160639193,OA+Thymol,Thymol,OA+Thymol,12
12_34,12_34,Cumulative,0.0,Limburg,Healthy,Carnica,5.5001456,50.9654864,Genk,0,OA+Thymol,Thymol,OA+Thymol,12
12_35,12_35,Cumulative,725047.47,Limburg,WL,Carnica,5.203424912,50.82694775,Sint-Truiden,0.293676313,Thymol,OA,None,12
12_36,12_36,Cumulative,0.0,Limburg,WL,Carnica,5.203424912,50.82694775,Sint-Truiden,0.246322272,Thymol,OA,None,12
12_37,12_37,Cumulative,0.0,Limburg,Healthy,Carnica,5.203424912,50.82694775,Sint-Truiden,18.29300484,Thymol,OA,None,12
12_38,12_38,Cumulative,190355.90000000002,Limburg,Healthy,Carnica,5.203424912,50.82694775,Sint-Truiden,2.75210084,Thymol,OA,None,12
12_39,12_39,Cumulative,0.0,Vl-Br.,Healthy,Carnica,4.431231831,51.332759,Kapellen,2.846685645,OA+Amitraz,OA,Thymol+Fluvalinate,12
12_4,12_4,Cumulative,0.0,Antwerpen,WL,Carnica,4.477387,51.1486117,Hove,2.75210084,OA,OA,OA,12
12_40,12_40,Cumulative,81776.66,Vl-Br.,Healthy,Carnica,4.431231831,51.332759,Kapellen,9.631715771,OA+Amitraz,OA,Thymol+Fluvalinate,12
12_41,12_41,Cumulative,91851.20000000001,Vl-Br.,WL,Carnica,4.431231831,51.332759,Kapellen,36.21331545,OA+Amitraz,OA,Thymol+Fluvalinate,12
12_42,12_42,Cumulative,0.0,Vl-Br.,WL,Carnica,4.431231831,51.332759,Kapellen,0,OA+Amitraz,OA,Thymol+Fluvalinate,12
12_43,12_43,Cumulative,0.0,Antwerpen,Healthy,Buckfast + Carnica,4.510406865,51.1596941,Boechout,0,Thymol+MO,MO,None,12
12_44,12_44,Cumulative,209606.81000000006,Antwerpen,Healthy,Buckfast + Carnica,4.510406865,51.1596941,Boechout,3.215258856,Thymol+MO,MO,None,12
12_45,12_45,Cumulative,11830000000.0,Antwerpen,WL,Buckfast + Carnica,4.510406865,51.1596941,Boechout,0,Thymol+MO,MO,None,12
12_46,12_46,Cumulative,6473349.329999998,Antwerpen,WL,Buckfast + Carnica,4.510406865,51.1596941,Boechout,1.475409836,Thymol+MO,MO,None,12
12_47,12_47,Cumulative,11667.95,Oost-Vl,Healthy,Buckfast,3.532983112,50.845989,Wortegem-petegem,5.01984127,OA,OA,None,12
12_48,12_48,Cumulative,0.0,Oost-Vl,Healthy,Buckfast,3.532983112,50.845989,Wortegem-petegem,3.481822837,OA,OA,None,12
12_49,12_49,Cumulative,0.0,Oost-Vl,WL,Buckfast,3.532983112,50.845989,Wortegem-petegem,6.326383896,OA,OA,None,12
12_5,12_5,Cumulative,0.0,West-Vl,Healthy,Unknown,3.292091113,51.2553021,Damme,0.246322272,Thymol,None,None,12
12_50,12_50,Cumulative,126009.87000000001,Oost-Vl,WL,Buckfast,3.532983112,50.845989,Wortegem-petegem,11.71953255,OA,OA,None,12
12_51,12_51,Cumulative,0.0,West-Vl,Healthy,Unknown,3.023122345,51.12819605,Eernegem,0.983949756,OA,OA,OA,12
12_52,12_52,Cumulative,0.0,West-Vl,WL,Unknown,3.023122345,51.12819605,Eernegem,7.090475157,OA,OA,OA,12
12_53,12_53,Cumulative,35227.36,Antwerpen,Healthy,Carnica,4.8597257,51.1438611,Olen,7.337142857,OA,OA,OA,12
12_54,12_54,Cumulative,69622.14000000001,Antwerpen,WL,Carnica,4.8597257,51.1438611,Olen,0.514191691,OA,OA,OA,12
12_55,12_55,Cumulative,0.0,Vl-Br.,WL,Carnica,4.948470729,51.0192772,Testelt,1.238198421,OA,OA,OA,12
12_56,12_56,Cumulative,0.0,Vl-Br.,Healthy,Carnica,4.948470729,51.0192772,Testelt,0.43251305,OA,OA,OA,12
12_57,12_57,Cumulative,305900000.0,Vl-Br.,WL,Hybrid,4.5385226,50.7729254,Overijse,8.887458151,OA,OA,None,12
12_58,12_58,Cumulative,811837.6000000001,Vl-Br.,Healthy,Hybrid,4.5385226,50.7729254,Overijse,5.389982111,OA,OA,None,12
12_59,12_59,Cumulative,0.0,Limburg,WL,Carnica,5.791733,51.0947181,Maaseik,0,None,OA,Thymol,12
12_6,12_6,Cumulative,8890000.0,West-Vl,WL,Unknown,3.292091113,51.2553021,Damme,0.773722628,Thymol,None,None,12
12_60,12_60,Cumulative,0.0,Limburg,Healthy,Carnica,5.791733,51.0947181,Maaseik,4.188018433,None,OA,Thymol,12
12_61,12_61,Cumulative,0.0,Limburg,Healthy,Carnica,5.572202585,51.0005396,As,0.603661554,Thymol,Thymol,None,12
12_62,12_62,Cumulative,33679.66,Limburg,WL,Carnica,5.572202585,51.0005396,As,1.287553648,Thymol,Thymol,None,12
12_63,12_63,Cumulative,15025.150000000001,Antwerpen,Healthy,Carnica,4.70338521,51.2257319,Pulderbos,6.261343013,Thymol,OA,OA+Thymol,12
12_64,12_64,Cumulative,0.0,Antwerpen,WL,Carnica,4.70338521,51.2257319,Pulderbos,1.991193738,Thymol,OA,OA+Thymol,12
12_65,12_65,Cumulative,0.0,Limburg,WL,Carnica,5.572202585,51.0005396,As,4.188018433,OA,None,None,12
12_66,12_66,Cumulative,64784.58000000001,Limburg,Healthy,Carnica,5.572202585,51.0005396,As,4.27019367,OA,None,None,12
12_67,12_67,Cumulative,967998.0799999998,West-Vl,Healthy,Hybrid,3.186445006,50.8121065,Wevelgem,0,Thymol,None,Thymol,12
12_68,12_68,Cumulative,0.0,West-Vl,WL,Hybrid,3.186445006,50.8121065,Wevelgem,1.210434783,Thymol,None,Thymol,12
12_69,12_69,Cumulative,0.0,Vl-Br.,Healthy,Carnica,4.730761495,50.88991545,Kessel-lo,1.305743846,OA,OA,OA,12
12_7,12_7,Cumulative,0.0,Limburg,Healthy,Buckfast,5.696445,50.9635024,Maasmechelen,2.846685645,None,None,None,12
12_70,12_70,Cumulative,0.0,Vl-Br.,Healthy,Carnica,4.730761495,50.88991545,Kessel-lo,6.261343013,OA,OA,OA,12
12_71,12_71,Cumulative,0.0,Vl-Br.,WL,Carnica,4.730761495,50.88991545,Kessel-lo,4.27019367,OA,OA,OA,12
12_72,12_72,Cumulative,0.0,Vl-Br.,WL,Carnica,4.730761495,50.88991545,Kessel-lo,11.66243194,OA,OA,OA,12
