sample	colony_id	lat	lon	commune	status_year
12_60	2365	5.791733	51.0947181	maaseik	healthy_12
12_61	2674	5.572202585	51.0005396	as	healthy_12
12_62	2674	5.572202585	51.0005396	as	wl_12
12_63	1963	4.70338521	51.2257319	pulderbos	healthy_12
12_64	1963	4.70338521	51.2257319	pulderbos	wl_12
12_65	2118	5.572202585	51.0005396	as	wl_12
12_66	2118	5.572202585	51.0005396	as	healthy_12
12_67	2778	3.186445006	50.8121065	wevelgem	healthy_12
12_68	2778	3.186445006	50.8121065	wevelgem	wl_12
12_69	472	4.730761495	50.88991545	kessel-lo	healthy_12
12_7	2258	5.696445	50.9635024	maasmechelen	healthy_12
12_70	472	4.730761495	50.88991545	kessel-lo	healthy_12
12_71	472	4.730761495	50.88991545	kessel-lo	wl_12
12_72	472	4.730761495	50.88991545	kessel-lo	wl_12
12_73	615	4.7132557	51.2716725	zoersel	wl_12
12_74	615	4.7132557	51.2716725	zoersel	healthy_12
12_75	615	4.7132557	51.2716725	zoersel	wl_12
12_76	615	4.7132557	51.2716725	zoersel	healthy_12
12_77	2453	2.654885824	51.071043	veurne	wl_12
12_78	2453	2.654885824	51.071043	veurne	healthy_12
12_79	2453	2.654885824	51.071043	veurne	healthy_12
12_8	2258	5.696445	50.9635024	maasmechelen	wl_12
12_80	2453	2.654885824	51.071043	veurne	wl_12
12_81	2649	3.412339	51.1392692	knesselare	wl_12
12_82	2649	3.412339	51.1392692	knesselare	wl_12
12_83	2649	3.412339	51.1392692	knesselare	healthy_12
12_84	2649	3.412339	51.1392692	knesselare	healthy_12
12_85	1259	4.474407	50.7674846	hoeilaart	healthy_12
12_86	1259	4.474407	50.7674846	hoeilaart	wl_12
12_87	2010	3.292091113	51.2553021	damme	healthy_12
12_88	2010	3.292091113	51.2553021	damme	wl_12
12_89	2896	4.8242404	51.238218	lille	wl_12
12_9	2498	4.3091107	51.1712275	kruibeke	wl_12
12_90	2896	4.8242404	51.238218	lille	healthy_12
12_91	376	5.2750485	51.0233485	heusden-zolder	wl_12
12_92	376	5.2750485	51.0233485	heusden-zolder	wl_12
12_93	376	5.2750485	51.0233485	heusden-zolder	wl_12
12_94	183	4.0614624	50.7720719	oetlingen	healthy_12
12_95	183	4.0614624	50.7720719	oetlingen	healthy_12
12_96	183	4.0614624	50.7720719	oetlingen	healthy_12
12_97	526	3.719334	50.8793307	zwalm	wl_12
12_98	526	3.719334	50.8793307	zwalm	wl_12
12_99	526	3.719334	50.8793307	zwalm	wl_12
13_1	1063	5.449157219	51.10874	peer	healthy_13
13_10	237	3.463734552	50.844003	anzegem	healthy_13
13_100	2307	3.8504738	51.029657	laarne	healthy_13
13_101	2307	3.8504738	51.029657	laarne	healthy_13
13_102	2307	3.8504738	51.029657	laarne	wl_13
13_103	2307	3.8504738	51.029657	laarne	wl_13
13_104	2307	3.8504738	51.029657	laarne	healthy_13
13_105	806	4.975432566	50.9689147	scherpenheuvel-zichem	wl_13
13_106	806	4.975432566	50.9689147	scherpenheuvel-zichem	healthy_13
13_107	806	4.975432566	50.9689147	scherpenheuvel-zichem	wl_13
13_108	806	4.975432566	50.9689147	scherpenheuvel-zichem	healthy_13
13_109	2551	4.0242373	50.8353611	ninove	healthy_13
13_11	1270	3.37894958	51.062755	ruiselede	healthy_13
13_110	2551	4.0242373	50.8353611	ninove	wl_13
13_111	480	5.193773076	51.171804	balen	healthy_13
13_112	480	5.193773076	51.171804	balen	wl_13
