	Virus	Type	Sample	Qty	Ct
2266	DWV-A	Sample	13_114	14001.09	25.55
2267	DWV-A	Sample	13_115	7236.83	26.54
2268	DWV-A	Sample	13_115	3311.94	27.7
2269	DWV-A	Sample	13_116	3019.28	27.84
2270	DWV-A	Sample	13_116	1532.32	28.85
2271	DWV-A	Sample	13_117	12.97	35.95
2272	DWV-A	Sample	13_119	15238.25	25.43
2273	DWV-A	Sample	13_119	11183.63	25.89
2274	DWV-A	Sample	13_120	14845.95	25.47
2275	DWV-A	Sample	13_120	16084.43	25.35
2276	DWV-A	Sample	13_121	28385.7	24.5
2277	DWV-A	Sample	13_121	20212.24	25.01
2278	DWV-A	Sample	13_122	1.29	39.39
2279	DWV-A	Sample	13_122	6.3	37.03
2280	DWV-A	Sample	13_123	14.04	35.84
2281	DWV-A	Sample	13_123	35.41	34.46
2282	DWV-A	Sample	13_125	16124.38	25.34
2283	DWV-A	Sample	13_125	16428.39	25.32
2284	DWV-A	Sample	13_126	117085.55	22.39
2285	DWV-A	Sample	13_126	103702.34	22.57
2286	DWV-A	Sample	13_127	25645.81	24.65
2287	DWV-A	Sample	13_127	23330.21	24.79
2288	DWV-A	Sample	13_128	73846.24	23.08
2289	DWV-A	Sample	13_128	100461.95	22.62
2290	DWV-A	Sample	13_130	34.85	34.48
2291	DWV-A	Sample	13_130	7.68	36.73
2292	DWV-A	Sample	13_131	13197.41	25.64
2293	DWV-A	Sample	13_131	15031.09	25.45
2294	DWV-A	Sample	13_132	375031.19	20.66
2295	DWV-A	Sample	13_132	372313.63	20.67
2296	DWV-A	Sample	13_133	1390.32	28.99
2297	DWV-A	Sample	13_133	1155.52	29.27
2298	DWV-A	Sample	13_134	442.45	30.7
2299	DWV-A	Sample	13_134	538.05	30.41
2300	DWV-A	Sample	13_135	2020000000.0	7.86
2301	DWV-A	Sample	13_135	1670000000.0	8.15
2302	DWV-A	Sample	13_136	2170000000.0	7.76
2303	DWV-A	Sample	13_136	2870000000.0	7.34
2304	DWV-A	Sample	13_137	5976.29	26.82
2305	DWV-A	Sample	13_137	6889.16	26.61
2306	DWV-A	Sample	13_138	5270000.0	16.72
2307	DWV-A	Sample	13_138	5100000.0	16.77
2308	DWV-A	Sample	13_139	3780000000.0	6.93
2309	DWV-A	Sample	13_139	4180000000.0	6.78
2310	DWV-A	Sample	13_140	4740000.0	16.88
2311	DWV-A	Sample	13_140	4220000.0	17.05
2312	DWV-A	Sample	13_141	75429.3	23.05
2313	DWV-A	Sample	13_141	65206.49	23.26
2314	DWV-A	Sample	13_142	4471.78	27.25
2315	DWV-A	Sample	13_142	3779.43	27.5
2316	DWV-A	Sample	13_143	2709.3	28.0
2317	DWV-A	Sample	13_143	2889.76	27.9
2318	DWV-A	Sample	13_144	141.05	32.4
2319	DWV-A	Sample	13_144	86.73	33.13
2320	AMFV	Standard	std	10000000000.0	5.03
2321	AMFV	Standard	std	10000000000.0	5.03
2322	AMFV	Standard	std	100000000.0	12.76
2323	AMFV	Standard	std	100000000.0	12.45
2324	AMFV	Standard	std	1000000.0	23.57
2325	AMFV	Standard	std	1000000.0	23.78
2326	AMFV	Standard	std	10000.0	30.41
2327	AMFV	Standard	std	10000.0	30.58
2328	AMFV	Sample	13_61	2684.15	33.57
2329	AMFV	Sample	13_61	1901.74	34.22
2330	AMFV	Sample	13_62	362.24	37.37
2331	AMFV	Sample	13_62	2215.26	33.93
2332	AMFV	Sample	13_63	7852.33	31.53
2333	AMFV	Sample	13_63	8289.91	31.43
2334	AMFV	Sample	13_64	8045.76	31.48
2335	AMFV	Sample	13_64	8180.15	31.45
2336	AMFV	Sample	13_65	2736.11	33.53
2337	AMFV	Sample	13_65	2185.86	33.96
2338	AMFV	Sample	13_66	1455.32	34.73
2339	AMFV	Sample	13_66	125.3	39.39
2340	AMFV	Sample	13_68	5035.46	32.37
2341	AMFV	Sample	13_68	2346.87	33.82
2342	AMFV	Sample	13_69	1892.56	34.23
2343	AMFV	Sample	13_69	2205.94	33.94
2344	AMFV	Sample	13_70	4867.2	32.44
2345	AMFV	Sample	13_70	4843.89	32.45
2346	AMFV	Sample	13_71	80334.23	27.11
2347	AMFV	Sample	13_71	96494.2	26.76
2348	AMFV	Sample	13_72	27382.57	29.16
2349	AMFV	Sample	13_72	29600.8	29.01
2350	AMFV	Sample	13_73	26418.15	29.22
2351	AMFV	Sample	13_73	26605.75	29.21
2352	AMFV	Sample	13_74	11812.68	30.75
2353	AMFV	Sample	13_74	15084.81	30.29
2354	AMFV	Sample	13_75	5953.75	32.05
2355	AMFV	Sample	13_75	7576.32	31.6
2356	AMFV	Sample	13_76	8553.64	31.37
2357	AMFV	Sample	13_76	8355.74	31.41
2358	AMFV	Sample	13_77	1988.74	34.14
2359	AMFV	Sample	13_77	1883.8	34.24
2360	AMFV	Sample	13_78	14538.92	30.36
2361	AMFV	Sample	13_78	15946.09	30.18
2362	AMFV	Sample	13_79	3107.89	33.29
2363	AMFV	Sample	13_79	4785.21	32.47
2364	AMFV	Sample	13_80	13329.2	30.52
2365	AMFV	Sample	13_80	10421.04	30.99
2366	AMFV	Sample	13_81	1678.96	34.46
2367	AMFV	Sample	13_81	2108.71	34.03
2368	AMFV	Sample	13_82	18766.41	29.87
2369	AMFV	Sample	13_82	20258.37	29.73
2370	AMFV	Sample	13_83	9829.12	31.1
2371	AMFV	Sample	13_83	12141.83	30.7
2372	AMFV	Sample	13_84	6480.91	31.89
2373	AMFV	Sample	13_84	6262.33	31.96
2374	AMFV	Sample	13_85	2687.37	33.57
2375	AMFV	Sample	13_85	2869.28	33.44
2376	AMFV	Sample	13_86	2755.26	33.52
2377	AMFV	Sample	13_86	1774.63	34.35
2378	AMFV	Sample	13_87	8004.75	31.49
2379	AMFV	Sample	13_87	9675.59	31.13
2380	AMFV	Sample	13_88	1270000.0	21.87
2381	AMFV	Sample	13_88	1400000.0	21.68
2382	AMFV	Sample	13_89	8556.13	31.37
2383	AMFV	Sample	13_89	9329.7	31.2
2384	AMFV	Sample	13_90	9159.76	31.24
2385	AMFV	Sample	13_90	9951.2	31.08
2386	AMFV	Sample	13_91	7371.21	31.65
2387	AMFV	Sample	13_91	8372.66	31.41
2388	AMFV	Sample	13_92	7823.06	31.54
2389	AMFV	Sample	13_92	8304.18	31.42
2390	AMFV	Sample	13_93	41307.03	28.38
2391	AMFV	Sample	13_93	39182.79	28.48
2392	AMFV	Sample	13_94	12617.96	30.63
2393	AMFV	Sample	13_94	11155.51	30.86
2394	AMFV	Sample	13_95	20218.9	29.73
2395	AMFV	Sample	13_95	22679.07	29.51
2396	AMFV	Sample	13_96	18988.77	29.85
2397	AMFV	Sample	13_96	18358.05	29.92
2398	AMFV	Sample	13_97	42638.67	28.32
2399	AMFV	Sample	13_97	36799.48	28.6
2400	AMFV	Sample	13_98	1092.25	35.28
2401	AMFV	Sample	13_98	1445.79	34.74
2402	AMFV	Sample	13_99	3061.59	33.32
2403	AMFV	Sample	13_99	4077.91	32.77
2404	AMFV	Sample	13_100	2584.96	33.64
2405	AMFV	Sample	13_100	3119.43	33.28
2406	AMFV	Sample	13_101	2736.28	33.53
2407	AMFV	Sample	13_101	2376.32	33.8
2408	AMFV	Sample	13_102	21269.85	29.64
2409	AMFV	Sample	13_102	20824.94	29.68
2410	BMLV	Standard	std	10000000000.0	3.89
2411	BMLV	Standard	std	10000000000.0	3.85
2412	BMLV	Standard	std	100000000.0	11.53
2413	BMLV	Standard	std	100000000.0	11.43
2414	BMLV	Standard	std	1000000.0	19.33
2415	BMLV	Standard	std	1000000.0	19.2
2416	BMLV	Standard	std	10000.0	26.4
2417	BMLV	Standard	std	10000.0	26.41
2418	BMLV	Standard	std	100.0	36.0
2419	BMLV	Standard	std	100.0	33.52
2420	BMLV	Sample	13_145	701.7	31.25
2421	BMLV	Sample	13_145	762.81	31.11
2422	AMFV	Standard	std	10000000000.0	4.74
2423	AMFV	Standard	std	10000000000.0	4.58
2424	AMFV	Standard	std	100000000.0	11.09
2425	AMFV	Standard	std	100000000.0	11.04
2426	AMFV	Standard	std	1000000.0	22.24
2427	AMFV	Standard	std	1000000.0	22.31
2428	AMFV	Standard	std	10000.0	29.63
2429	AMFV	Standard	std	10000.0	29.96
2430	AMFV	Standard	std	100.0	37.75
2431	AMFV	Standard	std	100.0	39.97
2432	AMFV	Sample	12_127	16601.4	29.09
2433	AMFV	Sample	12_127	15042.84	29.27
2434	AMFV	Sample	12_128	9873.17	30.07
2435	AMFV	Sample	12_128	8608.03	30.33
2436	AMFV	Sample	12_129	2401.93	32.74
2437	AMFV	Sample	12_129	1762.13	33.33
2438	AMFV	Sample	12_130	7519.78	30.58
2439	AMFV	Sample	12_130	7861.98	30.5
2440	AMFV	Sample	12_131	18221.35	28.91
2441	AMFV	Sample	12_131	22002.92	28.55
2442	AMFV	Sample	12_132	2768.71	32.47
2443	AMFV	Sample	12_132	1717.07	33.38
2444	AMFV	Sample	12_133	25665.27	28.26
2445	AMFV	Sample	12_133	20407.99	28.7
2446	AMFV	Sample	12_134	3614.78	31.97
2447	AMFV	Sample	12_134	4326.89	31.63
2448	AMFV	Sample	12_135	1114.27	34.2
2449	AMFV	Sample	12_136	9045.64	30.23
2450	AMFV	Sample	12_136	8282.47	30.4
2451	AMFV	Sample	12_137	4840.04	31.42
2452	AMFV	Sample	12_137	3885.74	31.83
2453	AMFV	Sample	12_138	18843.97	28.85
2454	AMFV	Sample	12_138	24603.46	28.34
2455	AMFV	Sample	12_139	41609.25	27.35
2456	AMFV	Sample	12_139	38465.86	27.5
2457	AMFV	Sample	12_140	77617.86	26.17
2458	AMFV	Sample	12_140	66117.17	26.47
2459	AMFV	Sample	12_141	2547.96	32.63
2460	AMFV	Sample	12_141	2447.4	32.71
2461	AMFV	Sample	12_143	37981.04	27.52
2462	AMFV	Sample	12_143	40053.67	27.42
2463	AMFV	Sample	12_144	32489.3	27.82
2464	AMFV	Sample	12_144	40557.23	27.4
2465	AMFV	Sample	12_145	6400.88	30.89
2466	AMFV	Sample	12_145	7477.06	30.6
2467	AMFV	Sample	12_146	2097.51	33.0
2468	AMFV	Sample	12_146	2518.88	32.65
2469	AMFV	Sample	12_147	31287.19	27.89
2470	AMFV	Sample	12_147	34156.48	27.72
2471	AMFV	Sample	12_148	18656.77	28.87
2472	AMFV	Sample	12_148	23295.74	28.45
2473	AMFV	Sample	12_149	10331.44	29.98
2474	AMFV	Sample	12_149	12372.9	29.64
2475	AMFV	Sample	12_150	185.27	37.59
2476	AMFV	Sample	12_150	76.19	39.27
2477	AMFV	Sample	13_1	17908.8	28.94
2478	AMFV	Sample	13_1	15142.92	29.26
2479	AMFV	Sample	13_2	9226.7	30.2
2480	AMFV	Sample	13_2	8868.65	30.27
2481	AMFV	Sample	13_3	629.7	35.28
2482	AMFV	Sample	13_3	1456.0	33.69
2483	AMFV	Sample	13_4	3491.53	32.04
2484	AMFV	Sample	13_4	4406.24	31.6
2485	AMFV	Sample	13_5	1049.22	34.31
2486	AMFV	Sample	13_5	2047.66	33.05
2487	AMFV	Sample	13_6	3151.85	32.23
2488	AMFV	Sample	13_6	2509.7	32.66
2489	AMFV	Sample	13_7	17950.99	28.94
2490	AMFV	Sample	13_7	17745.67	28.96
2491	AMFV	Sample	13_8	12215.45	29.67
2492	AMFV	Sample	13_8	9972.77	30.05
2493	AMFV	Sample	13_9	1031.44	34.34
2494	AMFV	Sample	13_9	510.15	35.67
2495	AMFV	Sample	13_10	87.06	39.02
2496	AMFV	Sample	13_11	441.1	35.95
2497	AMFV	Sample	13_11	172.86	37.72
2498	AMFV	Sample	13_12	2938.49	32.36
2499	AMFV	Sample	13_12	3312.58	32.14
2500	AMFV	Sample	13_13	876.31	34.65
2501	AMFV	Sample	13_13	1103.39	34.22
2502	AMFV	Sample	13_14	930.25	34.54
2503	AMFV	Sample	13_14	234.34	37.15
2504	AMFV	Sample	13_15	4756.31	31.45
2505	AMFV	Sample	13_15	4980.93	31.36
2506	AMFV	Sample	13_16	29151.16	28.02
2507	AMFV	Sample	13_16	37599.3	27.54
2508	AMFV	Sample	13_17	4440.34	31.58
2509	AMFV	Sample	13_17	3218.33	32.19
2510	AMFV	Sample	13_18	13363.04	29.5
2511	AMFV	Sample	13_18	16359.1	29.11
2512	AMFV	Standard	std	10000000000.0	6.38
2513	AMFV	Standard	std	10000000000.0	6.14
2514	AMFV	Standard	std	100000000.0	13.43
2515	AMFV	Standard	std	100000000.0	13.32
2516	AMFV	Standard	std	1000000.0	24.53
2517	AMFV	Standard	std	1000000.0	24.76
2518	AMFV	Standard	std	10000.0	31.42
2519	AMFV	Standard	std	10000.0	31.4
2520	AMFV	Sample	13_19	23006.73	30.36
2521	AMFV	Sample	13_19	17423.44	30.88
2522	AMFV	Sample	13_20	13697.17	31.34
2523	AMFV	Sample	13_20	7883.5	32.38
2524	AMFV	Sample	13_21	24418.56	30.25
2525	AMFV	Sample	13_21	17093.35	30.92
2526	AMFV	Sample	13_22	6894.87	32.63
2527	AMFV	Sample	13_22	4847.92	33.29
2528	AMFV	Sample	13_23	4434.39	33.46
2529	AMFV	Sample	13_23	4292.1	33.52
2530	AMFV	Sample	13_24	1812.14	35.15
2531	AMFV	Sample	13_24	1048.51	36.18
2532	AMFV	Sample	13_25	19771.24	30.65
2533	AMFV	Sample	13_25	15920.67	31.05
2534	AMFV	Sample	13_26	24738.81	30.22
2535	AMFV	Sample	13_26	17345.49	30.89
2536	AMFV	Sample	13_27	18995.96	30.72
2537	AMFV	Sample	13_27	20246.51	30.6
2538	AMFV	Sample	13_28	10499.4	31.84
2539	AMFV	Sample	13_28	8821.23	32.17
2540	AMFV	Sample	13_29	8032.9	32.34
2541	AMFV	Sample	13_29	5445.25	33.07
2542	AMFV	Sample	13_30	9103.51	32.11
2543	AMFV	Sample	13_30	6446.98	32.76
2544	AMFV	Sample	13_31	16519.52	30.98
2545	AMFV	Sample	13_31	12873.58	31.45
2546	AMFV	Sample	13_32	2014.28	34.95
2547	AMFV	Sample	13_32	1090.32	36.1
2548	AMFV	Sample	13_33	354.65	38.22
2549	AMFV	Sample	13_34	573.34	37.31
2550	AMFV	Sample	13_35	55188.67	28.71
2551	AMFV	Sample	13_35	46213.58	29.05
2552	AMFV	Sample	13_36	2267.97	34.72
2553	AMFV	Sample	13_36	1152.76	36.0
2554	AMFV	Sample	13_37	5263.93	33.14
2555	AMFV	Sample	13_37	5432.83	33.08
2556	AMFV	Sample	13_38	17592.24	30.87
2557	AMFV	Sample	13_38	8803.29	32.17
2558	AMFV	Sample	13_39	1931.89	35.03
2559	AMFV	Sample	13_39	1486.8	35.52
2560	AMFV	Sample	13_40	6902.72	32.63
2561	AMFV	Sample	13_40	6451.97	32.75
2562	AMFV	Sample	13_43	7133.61	32.57
2563	AMFV	Sample	13_43	4780.23	33.32
2564	AMFV	Sample	13_44	7954.19	32.36
2565	AMFV	Sample	13_44	8448.0	32.25
2566	AMFV	Sample	13_45	11493.65	31.67
2567	AMFV	Sample	13_45	8602.29	32.21
2568	AMFV	Sample	13_46	17574.27	30.87
2569	AMFV	Sample	13_46	19918.5	30.63
2570	AMFV	Sample	13_47	1218.14	35.89
2571	AMFV	Sample	13_47	581.84	37.29
2572	AMFV	Sample	13_48	3006.76	34.19
2573	AMFV	Sample	13_48	2520.64	34.52
2574	AMFV	Sample	13_49	7539.38	32.46
2575	AMFV	Sample	13_49	6172.17	32.84
2576	AMFV	Sample	13_50	1847.65	35.11
2577	AMFV	Sample	13_50	969.9	36.32
2578	AMFV	Sample	13_51	7072.89	32.58
2579	AMFV	Sample	13_51	6622.38	32.71
2580	AMFV	Sample	13_52	14891.63	31.18
2581	AMFV	Sample	13_52	13906.0	31.31
2582	AMFV	Sample	13_53	19321.88	30.69
2583	AMFV	Sample	13_53	22231.08	30.43
2584	AMFV	Sample	13_54	11668.78	31.64
2585	AMFV	Sample	13_54	13901.14	31.31
2586	AMFV	Sample	13_55	22608.16	30.39
2587	AMFV	Sample	13_55	21620.27	30.48
2588	AMFV	Sample	13_56	3910.61	33.7
2589	AMFV	Sample	13_56	2733.75	34.37
2590	AMFV	Sample	13_57	2560.24	34.5
2591	AMFV	Sample	13_57	2379.54	34.63
2592	AMFV	Sample	13_58	6832.0	32.65
2593	AMFV	Sample	13_58	6718.47	32.68
2594	AMFV	Sample	13_59	3980.44	33.66
2595	AMFV	Sample	13_59	4859.6	33.29
2596	AMFV	Sample	13_60	2793.75	34.33
2597	AMFV	Sample	13_60	2376.41	34.64
2598	apthili	Standard	std	10000000000.0	3.24
2599	apthili	Standard	std	10000000000.0	3.27
2600	apthili	Standard	std	100000000.0	10.33
2601	apthili	Standard	std	100000000.0	9.97
2602	apthili	Standard	std	1000000.0	18.02
2603	apthili	Standard	std	1000000.0	18.02
2604	apthili	Standard	std	10000.0	20.1
2605	apthili	Standard	std	10000.0	20.07
2606	apthili	Standard	std	100.0	26.91
2607	apthili	Standard	std	100.0	26.22
2608	apthili	Sample	13_138	0.916	32.69
2609	apthili	Sample	13_138	0.892	32.72
2610	AOV	Standard	std	10000000000.0	15.17
2611	AOV	Standard	std	10000000000.0	14.35
2612	AOV	Standard	std	100000000.0	24.32
2613	AOV	Standard	std	1000000.0	30.78
2614	AOV	Standard	std	1000000.0	30.6
2615	AOV	Standard	std	10000.0	36.86
2616	AOV	Standard	std	10000.0	36.8
2617	AOV	Sample	13_146	27800000.0	24.83
2618	AOV	Sample	13_150	7000000.0	27.03
2619	AOV	Sample	13_150	8390000.0	26.74
2620	DWV-A	Standard	std	10000000000.0	4.52
2621	DWV-A	Standard	std	10000000000.0	4.17
2622	DWV-A	Standard	std	100000000.0	11.72
2623	DWV-A	Standard	std	100000000.0	12.11
2624	DWV-A	Standard	std	1000000.0	21.8
2625	DWV-A	Standard	std	1000000.0	21.15
2626	DWV-A	Standard	std	10000.0	26.26
2627	DWV-A	Standard	std	10000.0	26.21
2628	DWV-A	Sample	12_85	2530000.0	18.24
2629	DWV-A	Sample	12_85	2230000.0	18.45
2630	DWV-A	Sample	12_86	69580.91	24.11
2631	DWV-A	Sample	12_86	58356.66	24.4
2632	DWV-A	Sample	12_87	1850000000.0	7.47
2633	DWV-A	Sample	12_87	1250000000.0	8.11
2634	DWV-A	Sample	12_88	418654.34	21.18
2635	DWV-A	Sample	12_88	220992.47	22.22
2636	DWV-A	Sample	12_89	2327.4	29.66
2637	DWV-A	Sample	12_89	3986.79	28.78
2638	DWV-A	Sample	12_90	3143.84	29.17
2639	DWV-A	Sample	12_90	1509.03	30.37
2640	DWV-A	Sample	12_91	2400000.0	18.32
2641	DWV-A	Sample	12_91	1900000.0	18.7
2642	DWV-A	Sample	12_92	2060000.0	18.57
2643	DWV-A	Sample	12_92	1520000.0	19.07
2644	DWV-A	Sample	12_93	14620.06	26.66
2645	DWV-A	Sample	12_93	9630.76	27.34
2646	DWV-A	Sample	12_94	313000000.0	10.37
2647	DWV-A	Sample	12_94	306000000.0	10.4
2648	DWV-A	Sample	12_95	3016.88	29.24
2649	DWV-A	Sample	12_95	4389.27	28.62
2650	DWV-A	Sample	12_96	67300000.0	12.88
2651	DWV-A	Sample	12_97	610000000.0	9.28
2652	DWV-A	Sample	12_97	931000000.0	8.59
2653	DWV-A	Sample	12_98	2790000.0	18.08
2654	DWV-A	Sample	12_98	2570000.0	18.21
2655	DWV-A	Sample	12_99	362000000.0	10.13
2656	DWV-A	Sample	12_99	236000000.0	10.83
2657	DWV-A	Sample	12_100	217935.58	22.24
2658	DWV-A	Sample	12_100	133642.8	23.04
2659	DWV-A	Sample	12_101	605821.5	20.57
2660	DWV-A	Sample	12_101	370031.84	21.38
2661	DWV-A	Sample	12_102	1570000000.0	7.73
2662	DWV-A	Sample	12_102	1680000000.0	7.63
2663	DWV-A	Sample	12_103	844016.5	20.03
2664	DWV-A	Sample	12_103	784118.5	20.15
2665	DWV-A	Sample	12_104	25263.62	25.76
2666	DWV-A	Sample	12_104	14349.29	26.69
2667	DWV-A	Sample	12_105	449899.44	21.06
2668	DWV-A	Sample	12_105	427240.13	21.14
2669	DWV-A	Sample	12_106	112000000.0	12.04
2670	DWV-A	Sample	12_106	175000000.0	11.32
2671	DWV-A	Sample	12_107	114000000.0	12.02
2672	DWV-A	Sample	12_107	113000000.0	12.03
2673	DWV-A	Sample	12_108	629000000.0	9.23
2674	DWV-A	Sample	12_108	453000000.0	9.76
2675	DWV-A	Sample	12_109	252000000.0	10.72
2676	DWV-A	Sample	12_109	430000000.0	9.85
2677	DWV-A	Sample	12_110	231915.95	22.14
2678	DWV-A	Sample	12_110	244416.77	22.06
2679	DWV-A	Sample	12_111	5002.46	28.41
2680	DWV-A	Sample	12_111	5648.75	28.21
2681	DWV-A	Sample	12_112	86300000.0	12.47
2682	DWV-A	Sample	12_112	303670.66	21.7
2683	DWV-A	Sample	12_113	14781.04	26.64
2684	DWV-A	Sample	12_113	17474.52	26.37
2685	DWV-A	Sample	12_114	9288.38	27.4
2686	DWV-A	Sample	12_114	8411.29	27.56
2687	DWV-A	Sample	12_115	6239.67	28.05
2688	DWV-A	Sample	12_115	6425.21	28.0
2689	DWV-A	Sample	12_116	1828.99	30.05
2690	DWV-A	Sample	12_116	2079.47	29.84
2691	DWV-A	Sample	12_117	5008.33	28.41
2692	DWV-A	Sample	12_117	4266.59	28.67
2693	DWV-A	Sample	12_118	2822.84	29.34
2694	DWV-A	Sample	12_118	3164.26	29.16
2695	DWV-A	Sample	12_119	9298.88	27.4
2696	DWV-A	Sample	12_119	9986.85	27.28
2697	DWV-A	Sample	12_120	2331.14	29.66
2698	DWV-A	Sample	12_120	2735.25	29.4
2699	DWV-A	Sample	12_121	1260000.0	19.37
2700	DWV-A	Sample	12_121	1290000.0	19.34
2701	DWV-A	Sample	12_122	22100000.0	14.7
2702	DWV-A	Sample	12_122	17400000.0	15.09
2703	DWV-A	Sample	12_123	51100000.0	13.33
2704	DWV-A	Sample	12_123	44000000.0	13.57
2705	DWV-A	Sample	12_124	259713.52	21.96
2706	DWV-A	Sample	12_124	257517.73	21.97
2707	DWV-A	Sample	12_125	118786.91	23.23
2708	DWV-A	Sample	12_125	128792.4	23.1
2709	DWV-A	Sample	12_126	168000000.0	11.38
2710	DWV-A	Sample	12_126	194000000.0	11.15
2711	DWV-B	Standard	std	10000000000.0	6.31
2712	DWV-B	Standard	std	10000000000.0	5.73
2713	DWV-B	Standard	std	100000000.0	14.45
2714	DWV-B	Standard	std	100000000.0	14.45
2715	DWV-B	Standard	std	1000000.0	22.59
2716	DWV-B	Standard	std	1000000.0	22.68
2717	DWV-B	Standard	std	10000.0	30.5
2718	DWV-B	Standard	std	10000.0	31.07
2719	DWV-B	Standard	std	100.0	37.62
2720	DWV-B	Standard	std	100.0	38.39
2721	DWV-B	Sample	13_19	19311.56	29.26
2722	DWV-B	Sample	13_19	14683.87	29.74
2723	DWV-B	Sample	13_20	75199.19	26.89
2724	DWV-B	Sample	13_20	51380.6	27.56
2725	DWV-B	Sample	13_21	336000000.0	12.23
2726	DWV-B	Sample	13_21	147000000.0	13.68
2727	DWV-B	Sample	13_22	106000000.0	14.25
2728	DWV-B	Sample	13_22	83600000.0	14.66
2729	DWV-B	Sample	13_23	39985.2	27.99
2730	DWV-B	Sample	13_23	36494.31	28.15
2731	DWV-B	Sample	13_24	5386.51	31.49
2732	DWV-B	Sample	13_24	7132.43	31.0
2733	DWV-B	Sample	13_25	1200000.0	22.07
2734	DWV-B	Sample	13_25	423400.19	23.88
2735	DWV-B	Sample	13_26	2100000000.0	9.04
2736	DWV-B	Sample	13_26	1590000000.0	9.52
2737	DWV-B	Sample	13_27	450988.47	23.77
2738	DWV-B	Sample	13_27	439134.69	23.81
2739	DWV-B	Sample	13_28	25242.22	28.8
2740	DWV-B	Sample	13_28	12618.54	30.0
2741	DWV-B	Sample	13_29	1276.58	34.0
2742	DWV-B	Sample	13_29	4.86	43.71
2743	DWV-B	Sample	13_30	298.27	36.54
2744	DWV-B	Sample	13_30	675.33	35.11
2745	DWV-B	Sample	13_31	12415.34	30.03
2746	DWV-B	Sample	13_31	8711.18	30.65
2747	DWV-B	Sample	13_32	7006.91	31.03
2748	DWV-B	Sample	13_32	6648.76	31.12
2749	DWV-B	Sample	13_33	5326.74	31.51
2750	DWV-B	Sample	13_33	4871.21	31.66
2751	DWV-B	Sample	13_34	187000000.0	13.26
2752	DWV-B	Sample	13_34	108000000.0	14.21
2753	DWV-B	Sample	13_35	6134.23	31.26
2754	DWV-B	Sample	13_35	4416.49	31.84
2755	DWV-B	Sample	13_36	25800000.0	16.71
2756	DWV-B	Sample	13_36	32700000.0	16.3
2757	DWV-B	Sample	13_37	3606.71	32.19
2758	DWV-B	Sample	13_37	2489.89	32.83
2759	DWV-B	Sample	13_38	3560000000.0	8.12
2760	DWV-B	Sample	13_38	3040000000.0	8.4
2761	DWV-B	Sample	13_39	19920.66	29.21
2762	DWV-B	Sample	13_39	8884.01	30.62
2763	DWV-B	Sample	13_40	52800000.0	15.46
2764	DWV-B	Sample	13_40	53700000.0	15.43
2765	DWV-B	Sample	13_41	906984.63	22.55
2766	DWV-B	Sample	13_41	663942.94	23.09
2767	DWV-B	Sample	13_42	11300000.0	18.16
2768	DWV-B	Sample	13_42	11900000.0	18.05
2769	DWV-B	Sample	13_43	92291.09	26.53
2770	DWV-B	Sample	13_43	125421.53	26.0
2771	DWV-B	Sample	13_44	1551.66	33.66
2772	DWV-B	Sample	13_44	1665.31	33.54
2773	DWV-B	Sample	13_45	39497.2	28.01
2774	DWV-B	Sample	13_45	26062.0	28.74
2775	DWV-B	Sample	13_46	54540.02	27.45
2776	DWV-B	Sample	13_46	40989.25	27.95
2777	DWV-B	Sample	13_47	30500000.0	16.42
2778	DWV-B	Sample	13_47	32000000.0	16.34
2779	DWV-B	Sample	13_48	8901.03	30.61
2780	DWV-B	Sample	13_48	16109.77	29.58
2781	DWV-B	Sample	13_49	14400000.0	17.73
2782	DWV-B	Sample	13_49	12600000.0	17.96
2783	DWV-B	Sample	13_50	697370.31	23.01
2784	DWV-B	Sample	13_50	552563.19	23.41
2785	DWV-B	Sample	13_51	7602.64	30.89
2786	DWV-B	Sample	13_51	6042.11	31.29
2787	DWV-B	Sample	13_52	1180000000.0	10.05
2788	DWV-B	Sample	13_52	1620000000.0	9.5
2789	DWV-B	Sample	13_53	17136.15	29.47
2790	DWV-B	Sample	13_53	19024.96	29.29
2791	DWV-B	Sample	13_54	11383.79	30.18
2792	DWV-B	Sample	13_54	12625.09	30.0
2793	DWV-B	Sample	13_55	146000000.0	13.69
2794	DWV-B	Sample	13_55	98500000.0	14.38
2795	DWV-B	Sample	13_56	80235.6	26.78
2796	DWV-B	Sample	13_56	77118.33	26.85
2797	DWV-B	Sample	13_57	18752.1	29.31
2798	DWV-B	Sample	13_57	14665.17	29.74
2799	DWV-B	Sample	13_58	32968.67	28.33
2800	DWV-B	Sample	13_58	40248.21	27.98
2801	DWV-B	Sample	13_59	9270000.0	18.5
2802	DWV-B	Sample	13_59	8970000.0	18.55
2803	DWV-B	Sample	13_60	17591.17	29.43
2804	DWV-B	Sample	13_60	15128.41	29.69
2805	DWV-B	Standard	std	100000000.0	15.06
2806	DWV-B	Standard	std	100000000.0	15.46
2807	DWV-B	Standard	std	1000000.0	24.96
2808	DWV-B	Standard	std	1000000.0	24.93
2809	DWV-B	Standard	std	10000.0	31.59
2810	DWV-B	Standard	std	10000.0	31.54
2811	DWV-B	Standard	std	100.0	37.0
2812	DWV-B	Standard	std	100.0	37.23
2813	DWV-B	Sample	13_103	7660000.0	20.42
2814	DWV-B	Sample	13_103	8300000.0	20.3
2815	DWV-B	Sample	13_104	1920000.0	22.59
2816	DWV-B	Sample	13_104	1420000.0	23.07
