Document Name: thika_6.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Wednesday, January 16, 2019 15:10:05
Last Modified: Tuesday, February 05, 2019 13:59:06
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,3.80,,1.00e+010,,,,
A2,,Rota,Standard,3.79,,1.00e+010,,,,
A3,,Rota,Standard,10.87,,1.00e+008,,,,
A4,,Rota,Standard,10.63,,1.00e+008,,,,
A5,,Rota,Standard,19.13,,1.00e+006,,,,
A6,,Rota,Standard,18.97,,1.00e+006,,,,
A7,,Rota,Standard,21.68,,10000.00,,,,
A8,,Rota,Standard,22.18,,10000.00,,,,
A9,,Rota,Standard,27.41,,100.00,,,,
A10,,Rota,Standard,26.75,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_50,Rota,Unknown,Undetermined,,,,,,
B2,13_50,Rota,Unknown,Undetermined,,,,,,
B3,13_51,Rota,Unknown,Undetermined,,,,,,
B4,13_51,Rota,Unknown,Undetermined,,,,,,
B5,13_52,Rota,Unknown,35.56,0.060,2.55e-001,2.64e-001,1.26e-002,,
B6,13_52,Rota,Unknown,35.48,0.060,2.73e-001,2.64e-001,1.26e-002,,
B7,13_53,Rota,Unknown,36.17,0.172,1.57e-001,1.43e-001,1.96e-002,,
B8,13_53,Rota,Unknown,36.41,0.172,1.29e-001,1.43e-001,1.96e-002,,
B9,13_54,Rota,Unknown,35.10,0.058,3.70e-001,3.82e-001,1.78e-002,,
B10,13_54,Rota,Unknown,35.01,0.058,3.95e-001,3.82e-001,1.78e-002,,
B11,13_55,Rota,Unknown,Undetermined,,,,,,
B12,13_55,Rota,Unknown,Undetermined,,,,,,
C1,13_56,Rota,Unknown,Undetermined,,,,,,
C2,13_56,Rota,Unknown,Undetermined,,,,,,
C3,13_57,Rota,Unknown,Undetermined,,,,,,
C4,13_57,Rota,Unknown,Undetermined,,,,,,
C5,13_58,Rota,Unknown,Undetermined,,,,,,
C6,13_58,Rota,Unknown,Undetermined,,,,,,
C7,13_59,Rota,Unknown,Undetermined,,,,,,
C8,13_59,Rota,Unknown,Undetermined,,,,,,
C9,13_60,Rota,Unknown,Undetermined,,,,,,
C10,13_60,Rota,Unknown,Undetermined,,,,,,
C11,13_61,Rota,Unknown,Undetermined,,,,,,
C12,13_61,Rota,Unknown,Undetermined,,,,,,
D1,13_62,Rota,Unknown,Undetermined,,,,,,
D2,13_62,Rota,Unknown,Undetermined,,,,,,
D3,13_63,Rota,Unknown,Undetermined,,,,,,
D4,13_63,Rota,Unknown,Undetermined,,,,,,
D5,13_64,Rota,Unknown,Undetermined,,,,,,
D6,13_64,Rota,Unknown,Undetermined,,,,,,
D7,13_65,Rota,Unknown,Undetermined,,,,,,
D8,13_65,Rota,Unknown,Undetermined,,,,,,
D9,13_66,Rota,Unknown,Undetermined,,,,,,
D10,13_66,Rota,Unknown,Undetermined,,,,,,
D11,13_67,Rota,Unknown,Undetermined,,,,,,
D12,13_67,Rota,Unknown,Undetermined,,,,,,
E1,13_68,Rota,Unknown,Undetermined,,,,,,
E2,13_68,Rota,Unknown,Undetermined,,,,,,
E3,13_69,Rota,Unknown,Undetermined,,,,,,
