Document Name: vdv2_55.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Friday, February 15, 2019 15:14:11
Last Modified: Friday, February 22, 2019 14:59:07
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,7.18,,1.00e+010,,,,
A2,,Rota,Standard,7.84,,1.00e+010,,,,
A3,,Rota,Standard,14.07,,1.00e+008,,,,
A4,,Rota,Standard,14.66,,1.00e+008,,,,
A5,,Rota,Standard,22.27,,1.00e+006,,,,
A6,,Rota,Standard,22.21,,1.00e+006,,,,
A7,,Rota,Standard,29.63,,10000.00,,,,
A8,,Rota,Standard,29.65,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,38.01,,100.00,,,,
A11,,Rota,NTC,33.50,,,,,,
A12,,Rota,NTC,33.00,,,,,,
B1,12_43,Rota,Unknown,18.87,0.585,8.04e+006,6.45e+006,2.25e+006,,
B2,12_43,Rota,Unknown,19.70,0.585,4.86e+006,6.45e+006,2.25e+006,,
B3,12_44,Rota,Unknown,22.81,0.184,732710.75,679051.53,75885.595,,
B4,12_44,Rota,Unknown,23.07,0.184,625392.31,679051.53,75885.595,,
B5,12_45,Rota,Unknown,12.30,1.168,4.38e+008,8.18e+008,5.37e+008,,
B6,12_45,Rota,Unknown,10.64,1.168,1.20e+009,8.18e+008,5.37e+008,,
B7,12_46,Rota,Unknown,18.07,0.414,1.31e+007,1.59e+007,3.96e+006,,
B8,12_46,Rota,Unknown,17.48,0.414,1.87e+007,1.59e+007,3.96e+006,,
B9,12_47,Rota,Unknown,22.77,0.155,749410.06,702570.97,66240.482,,
B10,12_47,Rota,Unknown,22.99,0.155,655731.88,702570.97,66240.482,,
B11,12_48,Rota,Unknown,12.82,0.517,3.20e+008,2.62e+008,8.11e+007,,
