Document Name: AMFV_2.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, January 31, 2019 13:02:27
Last Modified: Thursday, January 31, 2019 17:08:52
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,4.05,,1.00e+010,,,,
A2,,Rota,Standard,4.25,,1.00e+010,,,,
A3,,Rota,Standard,11.54,,1.00e+008,,,,
A4,,Rota,Standard,12.09,,1.00e+008,,,,
A5,,Rota,Standard,22.52,,1.00e+006,,,,
A6,,Rota,Standard,23.05,,1.00e+006,,,,
A7,,Rota,Standard,29.85,,10000.00,,,,
A8,,Rota,Standard,29.48,,10000.00,,,,
A9,,Rota,Standard,35.94,,100.00,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_43,Rota,Unknown,29.86,0.226,7580.00,8314.66,1038.970,,
B2,12_43,Rota,Unknown,29.54,0.226,9049.32,8314.66,1038.970,,
B3,12_44,Rota,Unknown,30.96,0.199,4129.00,3831.32,420.982,,
B4,12_44,Rota,Unknown,31.24,0.199,3533.64,3831.32,420.982,,
B5,12_45,Rota,Unknown,30.35,0.121,5783.81,5522.55,369.465,,
B6,12_45,Rota,Unknown,30.52,0.121,5261.30,5522.55,369.465,,
B7,12_46,Rota,Unknown,29.67,0.104,8426.41,8783.87,505.515,,
B8,12_46,Rota,Unknown,29.52,0.104,9141.32,8783.87,505.515,,
B9,12_47,Rota,Unknown,31.54,0.006,2990.18,2997.18,9.893,,
B10,12_47,Rota,Unknown,31.53,0.006,3004.17,2997.18,9.893,,
B11,12_48,Rota,Unknown,30.74,0.185,4658.21,5021.99,514.467,,
B12,12_48,Rota,Unknown,30.48,0.185,5385.77,5021.99,514.467,,
C1,12_49,Rota,Unknown,31.17,0.160,3675.48,3920.71,346.809,,
C2,12_49,Rota,Unknown,30.94,0.160,4165.94,3920.71,346.809,,
C3,12_50,Rota,Unknown,30.23,0.190,6177.18,5750.62,603.256,,
C4,12_50,Rota,Unknown,30.50,0.190,5324.05,5750.62,603.256,,
C5,12_51,Rota,Unknown,37.95,0.472,86.26,72.92,18.862,,
C6,12_51,Rota,Unknown,38.61,0.472,59.58,72.92,18.862,,
C7,12_52,Rota,Unknown,32.77,0.021,1514.45,1502.24,17.279,,
C8,12_52,Rota,Unknown,32.80,0.021,1490.02,1502.24,17.279,,
C9,12_53,Rota,Unknown,30.70,0.129,4778.84,5032.48,358.698,,
C10,12_53,Rota,Unknown,30.51,0.129,5286.12,5032.48,358.698,,
C11,12_54,Rota,Unknown,29.43,0.087,9608.98,9946.02,476.638,,
C12,12_54,Rota,Unknown,29.31,0.087,10283.05,9946.02,476.638,,
D1,12_55,Rota,Unknown,29.09,0.013,11612.87,11673.48,85.713,,
D2,12_55,Rota,Unknown,29.07,0.013,11734.09,11673.48,85.713,,
D3,12_56,Rota,Unknown,29.16,0.033,11198.23,11057.46,199.077,,
D4,12_56,Rota,Unknown,29.20,0.033,10916.70,11057.46,199.077,,
D5,12_57,Rota,Unknown,32.67,0.199,1600.75,1735.70,190.854,,
D6,12_57,Rota,Unknown,32.39,0.199,1870.66,1735.70,190.854,,
D7,12_58,Rota,Unknown,38.91,2.265,50.70,174.70,175.356,,
D8,12_58,Rota,Unknown,35.70,2.265,298.69,174.70,175.356,,
D9,12_59,Rota,Unknown,26.49,0.157,48959.49,46126.17,4006.923,,
D10,12_59,Rota,Unknown,26.72,0.157,43292.84,46126.17,4006.923,,
D11,12_60,Rota,Unknown,28.84,0.059,13377.19,13692.97,446.576,,
D12,12_60,Rota,Unknown,28.75,0.059,14008.74,13692.97,446.576,,
E1,12_61,Rota,Unknown,30.28,0.021,6025.92,6075.17,69.646,,
E2,12_61,Rota,Unknown,30.25,0.021,6124.41,6075.17,69.646,,
E3,12_62,Rota,Unknown,30.43,0.392,5543.43,4811.38,1035.274,,
E4,12_62,Rota,Unknown,30.98,0.392,4079.33,4811.38,1035.274,,
E5,12_63,Rota,Unknown,32.43,0.379,1830.18,2146.45,447.278,,
E6,12_63,Rota,Unknown,31.89,0.379,2462.72,2146.45,447.278,,
E7,12_64,Rota,Unknown,33.61,0.057,950.63,972.52,30.955,,
E8,12_64,Rota,Unknown,33.53,0.057,994.41,972.52,30.955,,
E9,12_65,Rota,Unknown,31.50,1.505,3065.71,2004.57,1500.682,,
E10,12_65,Rota,Unknown,33.63,1.505,943.43,2004.57,1500.682,,
E11,12_66,Rota,Unknown,29.49,0.016,9313.83,9254.94,83.285,,
E12,12_66,Rota,Unknown,29.51,0.016,9196.05,9254.94,83.285,,
F1,12_67,Rota,Unknown,32.65,0.044,1615.01,1587.84,38.417,,
F2,12_67,Rota,Unknown,32.72,0.044,1560.68,1587.84,38.417,,
F3,12_68,Rota,Unknown,34.51,0.099,578.72,557.19,30.443,,
F4,12_68,Rota,Unknown,34.65,0.099,535.67,557.19,30.443,,
F5,12_69,Rota,Unknown,31.86,0.070,2502.07,2572.53,99.639,,
F6,12_69,Rota,Unknown,31.76,0.070,2642.98,2572.53,99.639,,
F7,12_70,Rota,Unknown,33.11,0.502,1256.22,1558.84,427.965,,
F8,12_70,Rota,Unknown,32.40,0.502,1861.45,1558.84,427.965,,
F9,12_71,Rota,Unknown,31.81,0.065,2575.98,2512.22,90.171,,
F10,12_71,Rota,Unknown,31.90,0.065,2448.46,2512.22,90.171,,
F11,12_72,Rota,Unknown,35.08,0.036,422.29,428.35,8.580,,
F12,12_72,Rota,Unknown,35.03,0.036,434.42,428.35,8.580,,
G1,12_73,Rota,Unknown,31.16,0.248,3693.83,4089.12,559.026,,
G2,12_73,Rota,Unknown,30.81,0.248,4484.42,4089.12,559.026,,
G3,12_74,Rota,Unknown,34.77,1.187,501.90,350.02,214.801,,
G4,12_74,Rota,Unknown,36.44,1.187,198.13,350.02,214.801,,
G5,12_75,Rota,Unknown,32.37,0.145,1895.19,2008.83,160.711,,
G6,12_75,Rota,Unknown,32.16,0.145,2122.47,2008.83,160.711,,
