Document Name: dwv5_60.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Wednesday, February 20, 2019 15:45:40
Last Modified: Wednesday, February 20, 2019 16:28:02
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,4.31,,1.00e+010,,,,
A2,,Rota,Standard,4.64,,1.00e+010,,,,
A3,,Rota,Standard,12.65,,1.00e+008,,,,
A4,,Rota,Standard,11.64,,1.00e+008,,,,
A5,,Rota,Standard,21.40,,1.00e+006,,,,
A6,,Rota,Standard,22.20,,1.00e+006,,,,
A7,,Rota,Standard,26.04,,10000.00,,,,
A8,,Rota,Standard,26.23,,10000.00,,,,
A9,,Rota,Standard,29.48,,100.00,,,,
A10,,Rota,Standard,30.48,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_19,Rota,Unknown,27.95,0.396,1645.99,2047.36,567.617,,
B2,13_19,Rota,Unknown,27.39,0.396,2448.72,2047.36,567.617,,
B3,13_20,Rota,Unknown,22.09,0.112,105321.46,99746.82,7883.738,,
B4,13_20,Rota,Unknown,22.24,0.112,94172.17,99746.82,7883.738,,
B5,13_21,Rota,Unknown,Undetermined,,,,,,
B6,13_21,Rota,Unknown,Undetermined,,,,,,
B7,13_22,Rota,Unknown,Undetermined,,,,,,
B8,13_22,Rota,Unknown,Undetermined,,,,,,
B9,13_23,Rota,Unknown,34.21,1.231,19.62,12.67,9.835,,
B10,13_23,Rota,Unknown,35.95,1.231,5.71,12.67,9.835,,
B11,13_24,Rota,Unknown,Undetermined,,,,,,
B12,13_24,Rota,Unknown,Undetermined,,,,,,
C1,13_25,Rota,Unknown,23.59,0.329,36333.34,43436.10,10044.825,,
C2,13_25,Rota,Unknown,23.12,0.329,50538.87,43436.10,10044.825,,
C3,13_26,Rota,Unknown,10.22,0.235,4.72e+008,4.22e+008,6.99e+007,,
C4,13_26,Rota,Unknown,10.55,0.235,3.73e+008,4.22e+008,6.99e+007,,
C5,13_27,Rota,Unknown,13.77,0.046,3.80e+007,3.89e+007,1.28e+006,,
C6,13_27,Rota,Unknown,13.71,0.046,3.99e+007,3.89e+007,1.28e+006,,
C7,13_28,Rota,Unknown,28.17,0.000,1413.91,1413.71,2.81e-001,,
C8,13_28,Rota,Unknown,28.17,0.000,1413.51,1413.71,2.81e-001,,
C9,13_29,Rota,Unknown,Undetermined,,,,,,
C10,13_29,Rota,Unknown,Undetermined,,,,,,
C11,13_30,Rota,Unknown,29.04,0.296,764.11,895.82,186.253,,
C12,13_30,Rota,Unknown,28.62,0.296,1027.52,895.82,186.253,,
D1,13_31,Rota,Unknown,27.09,0.096,3047.91,2908.68,196.914,,
D2,13_31,Rota,Unknown,27.22,0.096,2769.44,2908.68,196.914,,
D3,13_32,Rota,Unknown,33.18,0.163,40.58,44.17,5.080,,
D4,13_32,Rota,Unknown,32.95,0.163,47.76,44.17,5.080,,
D5,13_33,Rota,Unknown,Undetermined,,,,,,
D6,13_33,Rota,Unknown,Undetermined,,,,,,
D7,13_34,Rota,Unknown,28.50,,1119.68,,,,
D8,13_34,Rota,Unknown,Undetermined,,,,,,
D9,13_35,Rota,Unknown,23.15,0.005,49626.16,49753.20,179.663,,
D10,13_35,Rota,Unknown,23.14,0.005,49880.24,49753.20,179.663,,
D11,13_36,Rota,Unknown,11.12,0.321,2.49e+008,2.15e+008,4.84e+007,,
D12,13_36,Rota,Unknown,11.57,0.321,1.81e+008,2.15e+008,4.84e+007,,
E1,13_37,Rota,Unknown,Undetermined,,,,,,
E2,13_37,Rota,Unknown,38.37,,1.03,,,,
E3,13_38,Rota,Unknown,11.42,0.459,2.01e+008,1.64e+008,5.24e+007,,
E4,13_38,Rota,Unknown,12.07,0.459,1.27e+008,1.64e+008,5.24e+007,,
E5,13_39,Rota,Unknown,30.10,0.073,359.08,346.47,17.838,,
E6,13_39,Rota,Unknown,30.21,0.073,333.85,346.47,17.838,,
E7,13_40,Rota,Unknown,Undetermined,,,,,,
E8,13_40,Rota,Unknown,Undetermined,,,,,,
E9,13_41,Rota,Unknown,26.56,0.001,4421.80,4420.26,2.171,,
E10,13_41,Rota,Unknown,26.56,0.001,4418.73,4420.26,2.171,,
E11,13_42,Rota,Unknown,17.04,0.177,3.76e+006,3.45e+006,432938.501,,
E12,13_42,Rota,Unknown,17.29,0.177,3.15e+006,3.45e+006,432938.501,,
F1,13_43,Rota,Unknown,18.42,0.348,1.42e+006,1.71e+006,417906.648,,
F2,13_43,Rota,Unknown,17.92,0.348,2.01e+006,1.71e+006,417906.648,,
F3,13_44,Rota,Unknown,22.78,0.171,64190.99,59148.35,7131.371,,
F4,13_44,Rota,Unknown,23.03,0.171,54105.71,59148.35,7131.371,,
F5,13_45,Rota,Unknown,23.25,0.129,46074.39,49261.36,4507.052,,
F6,13_45,Rota,Unknown,23.07,0.129,52448.33,49261.36,4507.052,,
F7,13_46,Rota,Unknown,21.43,0.473,167921.28,218864.38,72044.414,,
F8,13_46,Rota,Unknown,20.76,0.473,269807.47,218864.38,72044.414,,
F9,13_47,Rota,Unknown,8.93,0.237,1.18e+009,1.33e+009,2.23e+008,,
F10,13_47,Rota,Unknown,8.59,0.237,1.49e+009,1.33e+009,2.23e+008,,
F11,13_48,Rota,Unknown,15.08,1.367,1.51e+007,9.47e+006,7.96e+006,,
F12,13_48,Rota,Unknown,17.01,1.367,3.84e+006,9.47e+006,7.96e+006,,
G1,13_49,Rota,Unknown,11.51,0.033,1.89e+008,1.92e+008,4.44e+006,,
G2,13_49,Rota,Unknown,11.46,0.033,1.95e+008,1.92e+008,4.44e+006,,
G3,13_50,Rota,Unknown,16.15,0.305,7.04e+006,6.11e+006,1.31e+006,,
G4,13_50,Rota,Unknown,16.59,0.305,5.19e+006,6.11e+006,1.31e+006,,
G5,13_51,Rota,Unknown,31.51,0.541,132.88,180.69,67.619,,
G6,13_51,Rota,Unknown,30.74,0.541,228.51,180.69,67.619,,
G7,13_52,Rota,Unknown,16.53,0.168,5.37e+006,5.87e+006,697156.021,,
G8,13_52,Rota,Unknown,16.30,0.168,6.36e+006,5.87e+006,697156.021,,
G9,13_53,Rota,Unknown,25.71,0.133,8096.63,8674.24,816.862,,
G10,13_53,Rota,Unknown,25.52,0.133,9251.85,8674.24,816.862,,
G11,13_54,Rota,Unknown,31.25,0.314,159.82,189.34,41.742,,
G12,13_54,Rota,Unknown,30.80,0.314,218.85,189.34,41.742,,
H1,13_55,Rota,Unknown,Undetermined,,,,,,
H2,13_55,Rota,Unknown,31.95,,97.06,,,,
H3,13_56,Rota,Unknown,34.29,0.257,18.44,16.35,2.956,,
H4,13_56,Rota,Unknown,34.66,0.257,14.26,16.35,2.956,,
H5,13_57,Rota,Unknown,27.00,0.139,3237.38,3027.06,297.433,,
H6,13_57,Rota,Unknown,27.20,0.139,2816.75,3027.06,297.433,,
H7,13_58,Rota,Unknown,22.09,0.059,104588.04,107751.66,4474.036,,
H8,13_58,Rota,Unknown,22.01,0.059,110915.28,107751.66,4474.036,,
H9,13_59,Rota,Unknown,20.28,0.160,377349.19,410199.11,46456.805,,
H10,13_59,Rota,Unknown,20.06,0.160,443049.03,410199.11,46456.805,,
H11,13_60,Rota,Unknown,22.22,0.009,95845.47,96294.15,634.534,,
H12,13_60,Rota,Unknown,22.21,0.009,96742.84,96294.15,634.534,,
