Document Name: thog_6.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Monday, January 28, 2019 19:10:00
Last Modified: Monday, February 04, 2019 16:37:52
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,50.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
G7,13_94,Rota,Unknown,28.77,0.232,599.14,675.83,108.456,,
G8,13_94,Rota,Unknown,28.44,0.232,752.52,675.83,108.456,,
G9,13_95,Rota,Unknown,30.57,0.172,170.85,186.62,22.304,,
G10,13_95,Rota,Unknown,30.33,0.172,202.39,186.62,22.304,,
G11,13_96,Rota,Unknown,30.45,0.229,185.95,167.21,26.509,,
G12,13_96,Rota,Unknown,30.78,0.229,148.46,167.21,26.509,,
H1,13_97,Rota,Unknown,23.05,0.508,32102.77,25783.29,8937.099,,
H2,13_97,Rota,Unknown,23.77,0.508,19463.81,25783.29,8937.099,,
H3,13_98,Rota,Unknown,30.10,0.044,238.34,233.29,7.134,,
H4,13_98,Rota,Unknown,30.16,0.044,228.25,233.29,7.134,,
H5,13_99,Rota,Unknown,30.20,0.068,221.06,213.87,10.170,,
H6,13_99,Rota,Unknown,30.30,0.068,206.67,213.87,10.170,,
H7,13_100,Rota,Unknown,30.26,0.031,212.21,215.53,4.704,,
H8,13_100,Rota,Unknown,30.22,0.031,218.86,215.53,4.704,,
H9,13_101,Rota,Unknown,30.21,0.016,219.98,218.23,2.471,,
H10,13_101,Rota,Unknown,30.23,0.016,216.48,218.23,2.471,,
H11,13_102,Rota,Unknown,30.36,0.049,198.04,202.91,6.895,,
H12,13_102,Rota,Unknown,30.29,0.049,207.79,202.91,6.895,,
