Document Name: bmlv_3.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Tuesday, January 29, 2019 19:33:00
Last Modified: Tuesday, January 29, 2019 23:05:23
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,Undetermined,,,,,,
A2,,Rota,Standard,Undetermined,,,,,,
A3,,Rota,Standard,9.20,,1.00e+008,,,,
A4,,Rota,Standard,8.55,,1.00e+008,,,,
A5,,Rota,Standard,17.02,,1.00e+006,,,,
A6,,Rota,Standard,17.00,,1.00e+006,,,,
A7,,Rota,Standard,24.02,,10000.00,,,,
A8,,Rota,Standard,23.47,,10000.00,,,,
A9,,Rota,Standard,31.08,,100.00,,,,
A10,,Rota,Standard,31.92,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_85,Rota,Unknown,Undetermined,,,,,,
B2,12_85,Rota,Unknown,Undetermined,,,,,,
B3,12_86,Rota,Unknown,36.86,1.467,3.60,2.30,1.838,,
B4,12_86,Rota,Unknown,38.93,1.467,1.00,2.30,1.838,,
B5,12_87,Rota,Unknown,21.42,0.282,49623.61,44207.66,7659.314,,
B6,12_87,Rota,Unknown,21.82,0.282,38791.71,44207.66,7659.314,,
B7,12_88,Rota,Unknown,26.47,0.340,2189.30,1908.06,397.738,,
B8,12_88,Rota,Unknown,26.95,0.340,1626.81,1908.06,397.738,,
B9,12_89,Rota,Unknown,35.84,,6.76,,,,
B10,12_89,Rota,Unknown,Undetermined,,,,,,
B11,12_90,Rota,Unknown,36.37,,4.86,,,,
B12,12_90,Rota,Unknown,Undetermined,,,,,,
C1,12_91,Rota,Unknown,23.24,0.151,16062.55,15073.56,1398.653,,
C2,12_91,Rota,Unknown,23.46,0.151,14084.56,15073.56,1398.653,,
C3,12_92,Rota,Unknown,26.95,0.153,1633.22,1749.79,164.859,,
C4,12_92,Rota,Unknown,26.73,0.153,1866.36,1749.79,164.859,,
C5,12_93,Rota,Unknown,28.28,0.173,718.00,667.59,71.297,,
C6,12_93,Rota,Unknown,28.52,0.173,617.17,667.59,71.297,,
C7,12_94,Rota,Unknown,Undetermined,,,,,,
C8,12_94,Rota,Unknown,Undetermined,,,,,,
C9,12_95,Rota,Unknown,37.46,0.038,2.48,2.44,5.73e-002,,
C10,12_95,Rota,Unknown,37.52,0.038,2.40,2.44,5.73e-002,,
C11,12_96,Rota,Unknown,34.28,0.433,17.70,14.91,3.941,,
C12,12_96,Rota,Unknown,34.89,0.433,12.13,14.91,3.941,,
D1,12_97,Rota,Unknown,Undetermined,,,,,,
D2,12_97,Rota,Unknown,Undetermined,,,,,,
D3,12_98,Rota,Unknown,Undetermined,,,,,,
D4,12_98,Rota,Unknown,Undetermined,,,,,,
D5,12_99,Rota,Unknown,34.28,0.182,17.66,19.18,2.154,,
D6,12_99,Rota,Unknown,34.02,0.182,20.71,19.18,2.154,,
D7,12_100,Rota,Unknown,27.86,0.210,932.58,854.39,110.578,,
D8,12_100,Rota,Unknown,28.15,0.210,776.20,854.39,110.578,,
D9,12_101,Rota,Unknown,32.24,0.680,62.17,48.25,19.687,,
D10,12_101,Rota,Unknown,33.20,0.680,34.33,48.25,19.687,,
D11,12_102,Rota,Unknown,21.75,0.019,40374.05,40712.91,479.208,,
D12,12_102,Rota,Unknown,21.72,0.019,41051.76,40712.91,479.208,,
E1,12_103,Rota,Unknown,Undetermined,,,,,,
E2,12_103,Rota,Unknown,Undetermined,,,,,,
E3,12_104,Rota,Unknown,26.03,0.279,2883.73,2571.83,441.094,,
E4,12_104,Rota,Unknown,26.42,0.279,2259.93,2571.83,441.094,,
E5,12_105,Rota,Unknown,33.06,0.083,37.43,36.12,1.850,,
E6,12_105,Rota,Unknown,33.18,0.083,34.81,36.12,1.850,,
E7,12_106,Rota,Unknown,28.63,0.317,578.83,508.80,99.038,,
E8,12_106,Rota,Unknown,29.08,0.317,438.76,508.80,99.038,,
E9,12_107,Rota,Unknown,35.43,0.091,8.68,9.04,5.10e-001,,
E10,12_107,Rota,Unknown,35.30,0.091,9.40,9.04,5.10e-001,,
E11,12_108,Rota,Unknown,24.28,0.071,8476.65,8749.58,385.977,,
E12,12_108,Rota,Unknown,24.18,0.071,9022.51,8749.58,385.977,,
F1,12_109,Rota,Unknown,28.82,0.109,512.74,538.23,36.049,,
F2,12_109,Rota,Unknown,28.67,0.109,563.72,538.23,36.049,,
F3,12_110,Rota,Unknown,Undetermined,,,,,,
F4,12_110,Rota,Unknown,Undetermined,,,,,,
F5,12_111,Rota,Unknown,36.65,1.773,4.09,11.65,10.694,,
F6,12_111,Rota,Unknown,34.14,1.773,19.21,11.65,10.694,,
F7,12_112,Rota,Unknown,28.12,0.038,793.97,807.32,18.875,,
F8,12_112,Rota,Unknown,28.06,0.038,820.66,807.32,18.875,,
F9,12_113,Rota,Unknown,36.99,,3.31,,,,
F10,12_113,Rota,Unknown,Undetermined,,,,,,
F11,12_114,Rota,Unknown,Undetermined,,,,,,
F12,12_114,Rota,Unknown,35.00,,11.33,,,,
G1,12_115,Rota,Unknown,35.94,0.074,6.34,6.14,2.82e-001,,
G2,12_115,Rota,Unknown,36.04,0.074,5.95,6.14,2.82e-001,,
G3,12_116,Rota,Unknown,Undetermined,,,,,,
G4,12_116,Rota,Unknown,Undetermined,,,,,,
G5,12_117,Rota,Unknown,25.94,0.046,3036.95,3099.22,88.067,,
G6,12_117,Rota,Unknown,25.88,0.046,3161.49,3099.22,88.067,,
G7,12_118,Rota,Unknown,27.75,0.137,996.10,940.11,79.188,,
G8,12_118,Rota,Unknown,27.94,0.137,884.11,940.11,79.188,,
G9,12_119,Rota,Unknown,24.03,0.448,9903.78,8302.13,2265.082,,
G10,12_119,Rota,Unknown,24.66,0.448,6700.47,8302.13,2265.082,,
G11,12_120,Rota,Unknown,Undetermined,,,,,,
G12,12_120,Rota,Unknown,Undetermined,,,,,,
H1,12_121,Rota,Unknown,24.91,0.310,5749.41,5067.18,964.821,,
H2,12_121,Rota,Unknown,25.35,0.310,4384.95,5067.18,964.821,,
H3,12_122,Rota,Unknown,23.23,0.165,16192.60,17450.78,1779.344,,
H4,12_122,Rota,Unknown,23.00,0.165,18708.97,17450.78,1779.344,,
H5,12_123,Rota,Unknown,30.66,0.127,165.57,175.26,13.700,,
H6,12_123,Rota,Unknown,30.48,0.127,184.95,175.26,13.700,,
H7,12_124,Rota,Unknown,27.57,0.119,1110.94,1056.27,77.326,,
H8,12_124,Rota,Unknown,27.74,0.119,1001.59,1056.27,77.326,,
H9,12_125,Rota,Unknown,26.29,0.037,2451.06,2491.78,57.587,,
H10,12_125,Rota,Unknown,26.24,0.037,2532.50,2491.78,57.587,,
H11,12_126,Rota,Unknown,26.46,0.001,2202.02,2200.59,2.019,,
H12,12_126,Rota,Unknown,26.47,0.001,2199.16,2200.59,2.019,,
