Document Name: thog_2.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Monday, January 28, 2019 12:07:44
Last Modified: Monday, January 28, 2019 12:57:13
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,50.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
G7,12_76,Rota,Unknown,29.27,0.329,4776.58,4116.75,933.145,,
G8,12_76,Rota,Unknown,29.73,0.329,3456.92,4116.75,933.145,,
G9,12_77,Rota,Unknown,32.25,1.005,601.40,412.60,266.999,,
G10,12_77,Rota,Unknown,33.67,1.005,223.80,412.60,266.999,,
G11,12_78,Rota,Unknown,31.45,0.472,1045.49,851.24,274.704,,
G12,12_78,Rota,Unknown,32.12,0.472,657.00,851.24,274.704,,
H1,12_79,Rota,Unknown,35.57,1.114,59.79,119.35,84.238,,
H2,12_79,Rota,Unknown,33.99,1.114,178.92,119.35,84.238,,
H3,12_80,Rota,Unknown,32.26,0.266,597.03,528.28,97.215,,
H4,12_80,Rota,Unknown,32.63,0.266,459.54,528.28,97.215,,
H5,12_81,Rota,Unknown,31.95,0.430,741.99,937.35,276.280,,
H6,12_81,Rota,Unknown,31.34,0.430,1132.71,937.35,276.280,,
H7,12_82,Rota,Unknown,29.74,0.267,3453.32,3972.50,734.239,,
H8,12_82,Rota,Unknown,29.36,0.267,4491.69,3972.50,734.239,,
H9,12_83,Rota,Unknown,32.54,0.284,490.91,569.99,111.837,,
H10,12_83,Rota,Unknown,32.14,0.284,649.07,569.99,111.837,,
H11,12_84,Rota,Unknown,32.62,0.602,464.95,652.77,265.614,,
H12,12_84,Rota,Unknown,31.77,0.602,840.58,652.77,265.614,,
