Document Name: AMFV_4.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, January 31, 2019 16:08:57
Last Modified: Thursday, January 31, 2019 17:17:05
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,4.74,,1.00e+010,,,,
A2,,Rota,Standard,4.58,,1.00e+010,,,,
A3,,Rota,Standard,11.09,,1.00e+008,,,,
A4,,Rota,Standard,11.04,,1.00e+008,,,,
A5,,Rota,Standard,22.24,,1.00e+006,,,,
A6,,Rota,Standard,22.31,,1.00e+006,,,,
A7,,Rota,Standard,29.63,,10000.00,,,,
A8,,Rota,Standard,29.96,,10000.00,,,,
A9,,Rota,Standard,37.75,,100.00,,,,
A10,,Rota,Standard,39.97,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_127,Rota,Unknown,29.09,0.132,16601.40,15822.12,1102.068,,
B2,12_127,Rota,Unknown,29.27,0.132,15042.84,15822.12,1102.068,,
B3,12_128,Rota,Unknown,30.07,0.183,9873.17,9240.60,894.590,,
B4,12_128,Rota,Unknown,30.33,0.183,8608.03,9240.60,894.590,,
B5,12_129,Rota,Unknown,32.74,0.414,2401.93,2082.03,452.410,,
B6,12_129,Rota,Unknown,33.33,0.414,1762.13,2082.03,452.410,,
B7,12_130,Rota,Unknown,30.58,0.060,7519.78,7690.88,241.973,,
B8,12_130,Rota,Unknown,30.50,0.060,7861.98,7690.88,241.973,,
B9,12_131,Rota,Unknown,28.91,0.252,18221.35,20112.14,2673.978,,
B10,12_131,Rota,Unknown,28.55,0.252,22002.92,20112.14,2673.978,,
B11,12_132,Rota,Unknown,32.47,0.639,2768.71,2242.89,743.615,,
B12,12_132,Rota,Unknown,33.38,0.639,1717.07,2242.89,743.615,,
C1,12_133,Rota,Unknown,28.26,0.307,25665.27,23036.63,3717.458,,
C2,12_133,Rota,Unknown,28.70,0.307,20407.99,23036.63,3717.458,,
C3,12_134,Rota,Unknown,31.97,0.241,3614.78,3970.84,503.535,,
C4,12_134,Rota,Unknown,31.63,0.241,4326.89,3970.84,503.535,,
C5,12_135,Rota,Unknown,Undetermined,,,,,,
