Document Name: dwv1_60.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Monday, February 18, 2019 14:14:21
Last Modified: Friday, February 22, 2019 15:08:55
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,4.33,,1.00e+010,,,,
A2,,Rota,Standard,4.34,,1.00e+010,,,,
A3,,Rota,Standard,12.00,,1.00e+008,,,,
A4,,Rota,Standard,12.16,,1.00e+008,,,,
A5,,Rota,Standard,21.28,,1.00e+006,,,,
A6,,Rota,Standard,21.36,,1.00e+006,,,,
A7,,Rota,Standard,26.08,,10000.00,,,,
A8,,Rota,Standard,26.38,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_1,Rota,Unknown,25.35,0.303,31841.47,28152.32,5217.245,,
B2,12_1,Rota,Unknown,25.78,0.303,24463.17,28152.32,5217.245,,
B3,12_2,Rota,Unknown,20.45,0.058,646300.06,663128.66,23799.226,,
B4,12_2,Rota,Unknown,20.37,0.058,679957.25,663128.66,23799.226,,
B5,12_3,Rota,Unknown,27.18,0.367,10314.52,8904.63,1993.892,,
B6,12_3,Rota,Unknown,27.70,0.367,7494.73,8904.63,1993.892,,
B7,12_4,Rota,Unknown,18.33,0.326,2.38e+006,2.09e+006,415988.798,,
B8,12_4,Rota,Unknown,18.79,0.326,1.80e+006,2.09e+006,415988.798,,
B9,12_5,Rota,Unknown,21.37,0.100,367207.94,383937.05,23658.533,,
B10,12_5,Rota,Unknown,21.23,0.100,400666.16,383937.05,23658.533,,
B11,12_6,Rota,Unknown,4.84,0.172,9.51e+009,8.85e+009,9.35e+008,,
B12,12_6,Rota,Unknown,5.08,0.172,8.19e+009,8.85e+009,9.35e+008,,
C1,12_7,Rota,Unknown,25.50,0.136,28963.60,27347.21,2285.917,,
C2,12_7,Rota,Unknown,25.70,0.136,25730.82,27347.21,2285.917,,
C3,12_8,Rota,Unknown,26.69,0.467,13963.55,11632.68,3296.352,,
C4,12_8,Rota,Unknown,27.35,0.467,9301.80,11632.68,3296.352,,
C5,12_9,Rota,Unknown,11.84,0.127,1.28e+008,1.22e+008,9.49e+006,,
C6,12_9,Rota,Unknown,12.02,0.127,1.15e+008,1.22e+008,9.49e+006,,
C7,12_10,Rota,Unknown,8.38,0.072,1.08e+009,1.11e+009,4.90e+007,,
C8,12_10,Rota,Unknown,8.28,0.072,1.15e+009,1.11e+009,4.90e+007,,
C9,12_11,Rota,Unknown,24.56,0.155,51630.52,55358.20,5271.724,,
C10,12_11,Rota,Unknown,24.34,0.155,59085.87,55358.20,5271.724,,
C11,12_12,Rota,Unknown,29.30,0.657,2799.46,3878.34,1525.768,,
C12,12_12,Rota,Unknown,28.38,0.657,4957.23,3878.34,1525.768,,
D1,12_13,Rota,Unknown,24.97,0.124,40168.37,38111.68,2908.598,,
D2,12_13,Rota,Unknown,25.15,0.124,36054.99,38111.68,2908.598,,
D3,12_14,Rota,Unknown,20.11,0.158,798126.00,856684.50,82814.225,,
D4,12_14,Rota,Unknown,19.88,0.158,915243.00,856684.50,82814.225,,
D5,12_15,Rota,Unknown,27.90,0.278,6644.76,7552.61,1283.892,,
D6,12_15,Rota,Unknown,27.51,0.278,8460.46,7552.61,1283.892,,
D7,12_16,Rota,Unknown,13.23,0.013,5.47e+007,5.44e+007,422315.282,,
D8,12_16,Rota,Unknown,13.25,0.013,5.41e+007,5.44e+007,422315.282,,
D9,12_17,Rota,Unknown,27.74,0.205,7319.64,8033.90,1010.114,,
D10,12_17,Rota,Unknown,27.45,0.205,8748.16,8033.90,1010.114,,
D11,12_18,Rota,Unknown,26.23,0.084,18522.24,17867.57,925.840,,
D12,12_18,Rota,Unknown,26.35,0.084,17212.91,17867.57,925.840,,
E1,12_19,Rota,Unknown,29.29,0.100,2825.85,2708.65,165.746,,
E2,12_19,Rota,Unknown,29.43,0.100,2591.45,2708.65,165.746,,
E3,12_20,Rota,Unknown,7.81,0.131,1.52e+009,1.44e+009,1.16e+008,,
E4,12_20,Rota,Unknown,8.00,0.131,1.36e+009,1.44e+009,1.16e+008,,
E5,12_21,Rota,Unknown,12.52,0.044,8.46e+007,8.30e+007,2.22e+006,,
E6,12_21,Rota,Unknown,12.58,0.044,8.15e+007,8.30e+007,2.22e+006,,
E7,12_22,Rota,Unknown,27.30,0.143,9589.19,10222.24,895.272,,
E8,12_22,Rota,Unknown,27.10,0.143,10855.29,10222.24,895.272,,
E9,12_23,Rota,Unknown,24.39,0.059,57242.38,58737.39,2114.274,,
E10,12_23,Rota,Unknown,24.31,0.059,60232.41,58737.39,2114.274,,
E11,12_24,Rota,Unknown,27.13,0.012,10676.49,10733.12,80.087,,
E12,12_24,Rota,Unknown,27.11,0.012,10789.75,10733.12,80.087,,
F1,12_25,Rota,Unknown,23.26,0.192,114632.45,125060.50,14747.491,,
F2,12_25,Rota,Unknown,22.99,0.192,135488.55,125060.50,14747.491,,
F3,12_26,Rota,Unknown,7.74,0.089,1.59e+009,1.66e+009,9.00e+007,,
F4,12_26,Rota,Unknown,7.62,0.089,1.72e+009,1.66e+009,9.00e+007,,
F5,12_27,Rota,Unknown,31.14,0.255,906.16,1018.75,159.233,,
F6,12_27,Rota,Unknown,30.78,0.255,1131.35,1018.75,159.233,,
F7,12_28,Rota,Unknown,29.25,0.345,2887.56,3393.08,714.903,,
F8,12_28,Rota,Unknown,28.77,0.345,3898.59,3393.08,714.903,,
F9,12_29,Rota,Unknown,25.71,0.092,25477.96,26543.82,1507.365,,
F10,12_29,Rota,Unknown,25.58,0.092,27609.69,26543.82,1507.365,,
F11,12_30,Rota,Unknown,27.48,0.106,8609.13,9025.77,589.214,,
F12,12_30,Rota,Unknown,27.33,0.106,9442.40,9025.77,589.214,,
G1,12_31,Rota,Unknown,26.54,0.153,15317.84,16403.44,1535.259,,
G2,12_31,Rota,Unknown,26.32,0.153,17489.03,16403.44,1535.259,,
G3,12_32,Rota,Unknown,20.97,0.319,470573.59,545726.92,106282.856,,
G4,12_32,Rota,Unknown,20.52,0.319,620880.25,545726.92,106282.856,,
G5,12_33,Rota,Unknown,25.29,2.213,33049.66,22246.37,16691.961,,
G6,12_33,Rota,Unknown,25.41,2.213,30668.20,22246.37,16691.961,,
G7,12_33,Rota,Unknown,29.18,2.213,3021.26,22246.37,16691.961,,
G8,12_34,Rota,Unknown,29.27,,2851.70,,,,
G9,12_35,Rota,Unknown,30.05,0.004,1770.45,1773.21,3.908,,
G10,12_35,Rota,Unknown,30.05,0.004,1775.98,1773.21,3.908,,
G11,12_36,Rota,Unknown,31.67,0.138,654.78,696.47,58.947,,
G12,12_36,Rota,Unknown,31.47,0.138,738.15,696.47,58.947,,
H1,12_37,Rota,Unknown,26.86,0.225,12589.92,11473.18,1579.297,,
H2,12_37,Rota,Unknown,27.18,0.225,10356.45,11473.18,1579.297,,
H3,12_38,Rota,Unknown,20.27,0.268,720731.50,815226.50,133636.111,,
H4,12_38,Rota,Unknown,19.89,0.268,909721.50,815226.50,133636.111,,
H5,12_39,Rota,Unknown,14.29,0.071,2.85e+007,2.94e+007,1.28e+006,,
H6,12_39,Rota,Unknown,14.19,0.071,3.03e+007,2.94e+007,1.28e+006,,
H7,12_40,Rota,Unknown,26.78,0.155,13207.57,12375.04,1177.384,,
H8,12_40,Rota,Unknown,27.00,0.155,11542.50,12375.04,1177.384,,
H9,12_41,Rota,Unknown,8.07,0.057,1.30e+009,1.27e+009,4.44e+007,,
H10,12_41,Rota,Unknown,8.15,0.057,1.24e+009,1.27e+009,4.44e+007,,
H11,12_42,Rota,Unknown,24.26,0.091,62103.80,59737.81,3346.007,,
H12,12_42,Rota,Unknown,24.39,0.091,57371.83,59737.81,3346.007,,
