Document Name: AMFV_6.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Friday, February 01, 2019 11:10:16
Last Modified: Friday, February 01, 2019 13:00:21
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,5.03,,1.00e+010,,,,
A2,,Rota,Standard,5.03,,1.00e+010,,,,
A3,,Rota,Standard,12.76,,1.00e+008,,,,
A4,,Rota,Standard,12.45,,1.00e+008,,,,
A5,,Rota,Standard,23.57,,1.00e+006,,,,
A6,,Rota,Standard,23.78,,1.00e+006,,,,
A7,,Rota,Standard,30.41,,10000.00,,,,
A8,,Rota,Standard,30.58,,10000.00,,,,
A9,,Rota,Standard,Undetermined,,,,,,
A10,,Rota,Standard,Undetermined,,,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,13_61,Rota,Unknown,33.57,0.463,2684.15,2292.95,553.243,,
B2,13_61,Rota,Unknown,34.22,0.463,1901.74,2292.95,553.243,,
B3,13_62,Rota,Unknown,37.37,2.432,362.24,1288.75,1310.283,,
B4,13_62,Rota,Unknown,33.93,2.432,2215.26,1288.75,1310.283,,
B5,13_63,Rota,Unknown,31.53,0.073,7852.33,8071.12,309.413,,
B6,13_63,Rota,Unknown,31.43,0.073,8289.91,8071.12,309.413,,
B7,13_64,Rota,Unknown,31.48,0.022,8045.76,8112.96,95.026,,
B8,13_64,Rota,Unknown,31.45,0.022,8180.15,8112.96,95.026,,
B9,13_65,Rota,Unknown,33.53,0.302,2736.11,2460.98,389.089,,
B10,13_65,Rota,Unknown,33.96,0.302,2185.86,2460.98,389.089,,
B11,13_66,Rota,Unknown,34.73,3.293,1455.32,790.31,940.468,,
B12,13_66,Rota,Unknown,39.39,3.293,125.30,790.31,940.468,,
C1,13_67,Rota,Unknown,Undetermined,,,,,,
C2,13_67,Rota,Unknown,Undetermined,,,,,,
C3,13_68,Rota,Unknown,32.37,1.025,5035.46,3691.16,1901.122,,
C4,13_68,Rota,Unknown,33.82,1.025,2346.87,3691.16,1901.122,,
C5,13_69,Rota,Unknown,34.23,0.206,1892.56,2049.25,221.592,,
C6,13_69,Rota,Unknown,33.94,0.206,2205.94,2049.25,221.592,,
C7,13_70,Rota,Unknown,32.44,0.006,4867.20,4855.55,16.482,,
C8,13_70,Rota,Unknown,32.45,0.006,4843.89,4855.55,16.482,,
C9,13_71,Rota,Unknown,27.11,0.246,80334.23,88414.21,11426.823,,
C10,13_71,Rota,Unknown,26.76,0.246,96494.20,88414.21,11426.823,,
C11,13_72,Rota,Unknown,29.16,0.105,27382.57,28491.68,1568.524,,
C12,13_72,Rota,Unknown,29.01,0.105,29600.80,28491.68,1568.524,,
D1,13_73,Rota,Unknown,29.22,0.010,26418.15,26511.95,132.657,,
D2,13_73,Rota,Unknown,29.21,0.010,26605.75,26511.95,132.657,,
D3,13_74,Rota,Unknown,30.75,0.328,11812.68,13448.74,2313.741,,
D4,13_74,Rota,Unknown,30.29,0.328,15084.81,13448.74,2313.741,,
D5,13_75,Rota,Unknown,32.05,0.324,5953.75,6765.04,1147.326,,
D6,13_75,Rota,Unknown,31.60,0.324,7576.32,6765.04,1147.326,,
D7,13_76,Rota,Unknown,31.37,0.031,8553.64,8454.69,139.937,,
D8,13_76,Rota,Unknown,31.41,0.031,8355.74,8454.69,139.937,,
D9,13_77,Rota,Unknown,34.14,0.073,1988.74,1936.27,74.204,,
D10,13_77,Rota,Unknown,34.24,0.073,1883.80,1936.27,74.204,,
D11,13_78,Rota,Unknown,30.36,0.124,14538.92,15242.50,995.022,,
D12,13_78,Rota,Unknown,30.18,0.124,15946.09,15242.50,995.022,,
E1,13_79,Rota,Unknown,33.29,0.580,3107.89,3946.55,1186.046,,
E2,13_79,Rota,Unknown,32.47,0.580,4785.21,3946.55,1186.046,,
E3,13_80,Rota,Unknown,30.52,0.331,13329.20,11875.12,2056.379,,
E4,13_80,Rota,Unknown,30.99,0.331,10421.04,11875.12,2056.379,,
E5,13_81,Rota,Unknown,34.46,0.306,1678.96,1893.83,303.885,,
E6,13_81,Rota,Unknown,34.03,0.306,2108.71,1893.83,303.885,,
E7,13_82,Rota,Unknown,29.87,0.103,18766.41,19512.39,1054.977,,
E8,13_82,Rota,Unknown,29.73,0.103,20258.37,19512.39,1054.977,,
E9,13_83,Rota,Unknown,31.10,0.284,9829.12,10985.47,1635.333,,
E10,13_83,Rota,Unknown,30.70,0.284,12141.83,10985.47,1635.333,,
E11,13_84,Rota,Unknown,31.89,0.046,6480.91,6371.62,154.556,,
E12,13_84,Rota,Unknown,31.96,0.046,6262.33,6371.62,154.556,,
F1,13_85,Rota,Unknown,33.57,0.088,2687.37,2778.33,128.627,,
F2,13_85,Rota,Unknown,33.44,0.088,2869.28,2778.33,128.627,,
F3,13_86,Rota,Unknown,33.52,0.591,2755.26,2264.94,693.411,,
F4,13_86,Rota,Unknown,34.35,0.591,1774.63,2264.94,693.411,,
F5,13_87,Rota,Unknown,31.49,0.255,8004.75,8840.17,1181.461,,
F6,13_87,Rota,Unknown,31.13,0.255,9675.59,8840.17,1181.461,,
F7,13_88,Rota,Unknown,21.87,0.133,1.27e+006,1.34e+006,93539.532,,
F8,13_88,Rota,Unknown,21.68,0.133,1.40e+006,1.34e+006,93539.532,,
F9,13_89,Rota,Unknown,31.37,0.116,8556.13,8942.92,546.995,,
F10,13_89,Rota,Unknown,31.20,0.116,9329.70,8942.92,546.995,,
F11,13_90,Rota,Unknown,31.24,0.111,9159.76,9555.48,559.632,,
F12,13_90,Rota,Unknown,31.08,0.111,9951.20,9555.48,559.632,,
G1,13_91,Rota,Unknown,31.65,0.171,7371.21,7871.93,708.131,,
G2,13_91,Rota,Unknown,31.41,0.171,8372.66,7871.93,708.131,,
G3,13_92,Rota,Unknown,31.54,0.080,7823.06,8063.62,340.206,,
G4,13_92,Rota,Unknown,31.42,0.080,8304.18,8063.62,340.206,,
G5,13_93,Rota,Unknown,28.38,0.071,41307.03,40244.91,1502.066,,
G6,13_93,Rota,Unknown,28.48,0.071,39182.79,40244.91,1502.066,,
G7,13_94,Rota,Unknown,30.63,0.165,12617.96,11886.73,1034.108,,
G8,13_94,Rota,Unknown,30.86,0.165,11155.51,11886.73,1034.108,,
G9,13_95,Rota,Unknown,29.73,0.154,20218.90,21448.98,1739.606,,
G10,13_95,Rota,Unknown,29.51,0.154,22679.07,21448.98,1739.606,,
G11,13_96,Rota,Unknown,29.85,0.045,18988.77,18673.41,445.988,,
G12,13_96,Rota,Unknown,29.92,0.045,18358.05,18673.41,445.988,,
H1,13_97,Rota,Unknown,28.32,0.198,42638.67,39719.08,4128.932,,
H2,13_97,Rota,Unknown,28.60,0.198,36799.48,39719.08,4128.932,,
H3,13_98,Rota,Unknown,35.28,0.377,1092.25,1269.02,249.995,,
H4,13_98,Rota,Unknown,34.74,0.377,1445.79,1269.02,249.995,,
H5,13_99,Rota,Unknown,33.32,0.385,3061.59,3569.75,718.646,,
H6,13_99,Rota,Unknown,32.77,0.385,4077.91,3569.75,718.646,,
H7,13_100,Rota,Unknown,33.64,0.252,2584.96,2852.20,377.929,,
H8,13_100,Rota,Unknown,33.28,0.252,3119.43,2852.20,377.929,,
H9,13_101,Rota,Unknown,33.53,0.189,2736.28,2556.30,254.530,,
H10,13_101,Rota,Unknown,33.80,0.189,2376.32,2556.30,254.530,,
H11,13_102,Rota,Unknown,29.64,0.028,21269.85,21047.40,314.603,,
H12,13_102,Rota,Unknown,29.68,0.028,20824.94,21047.40,314.603,,
