Document Name: thika_1.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Thursday, January 03, 2019 14:11:31
Last Modified: Tuesday, February 05, 2019 13:53:46
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,Undetermined,,,,,,
A2,,Rota,Standard,Undetermined,,,,,,
A3,,Rota,Standard,4.39,,1.00e+008,,,,
A4,,Rota,Standard,4.16,,1.00e+008,,,,
A5,,Rota,Standard,16.37,,1.00e+006,,,,
A6,,Rota,Standard,16.33,,1.00e+006,,,,
A7,,Rota,Standard,18.96,,10000.00,,,,
A8,,Rota,Standard,19.38,,10000.00,,,,
A9,,Rota,Standard,23.40,,100.00,,,,
A10,,Rota,Standard,23.40,,100.00,,,,
A11,,Rota,NTC,Undetermined,,,,,,
A12,,Rota,NTC,Undetermined,,,,,,
B1,12_1,Rota,Unknown,20.33,0.154,3112.50,2873.11,338.547,,
B2,12_4,Rota,Unknown,24.50,0.015,128.20,127.18,1.438,,
B3,12_8,Rota,Unknown,27.78,0.461,10.49,8.43,2.914,,
B4,12_8,Rota,Unknown,28.43,0.461,6.37,8.43,2.914,,
B5,12_15,Rota,Unknown,24.10,0.087,174.33,166.46,11.128,,
B6,12_15,Rota,Unknown,24.23,0.087,158.59,166.46,11.128,,
B7,12_22,Rota,Unknown,20.10,0.059,3711.24,3834.39,174.163,,
B8,12_22,Rota,Unknown,20.02,0.059,3957.54,3834.39,174.163,,
B9,12_29,Rota,Unknown,28.63,0.277,5.48,6.43,1.355,,
B10,12_29,Rota,Unknown,28.23,0.277,7.39,6.43,1.355,,
B11,12_36,Rota,Unknown,31.07,0.070,8.41e-001,8.74e-001,4.66e-002,,
B12,12_36,Rota,Unknown,30.97,0.070,9.07e-001,8.74e-001,4.66e-002,,
C1,12_1,Rota,Unknown,20.55,0.154,2633.72,2873.11,338.547,,
C2,12_5,Rota,Unknown,28.66,0.174,5.35,4.89,6.48e-001,,
C3,12_9,Rota,Unknown,33.41,0.673,1.40e-001,1.04e-001,5.14e-002,,
C4,12_9,Rota,Unknown,34.36,0.673,6.78e-002,1.04e-001,5.14e-002,,
C5,12_16,Rota,Unknown,23.49,0.112,278.38,296.24,25.245,,
C6,12_16,Rota,Unknown,23.33,0.112,314.09,296.24,25.245,,
C7,12_23,Rota,Unknown,29.72,0.003,2.37,2.37,4.64e-003,,
C8,12_23,Rota,Unknown,29.72,0.003,2.38,2.37,4.64e-003,,
C9,12_30,Rota,Unknown,24.97,0.117,89.72,95.78,8.576,,
C10,12_30,Rota,Unknown,24.80,0.117,101.85,95.78,8.576,,
C11,12_37,Rota,Unknown,22.39,0.006,643.23,645.26,2.867,,
C12,12_37,Rota,Unknown,22.39,0.006,647.29,645.26,2.867,,
D1,12_2,Rota,Unknown,23.05,0.773,391.03,280.20,156.738,,
D2,12_5,Rota,Unknown,28.90,0.174,4.43,4.89,6.48e-001,,
D3,12_10,Rota,Unknown,28.82,0.069,4.71,4.54,2.40e-001,,
D4,12_10,Rota,Unknown,28.92,0.069,4.37,4.54,2.40e-001,,
D5,12_17,Rota,Unknown,19.03,0.130,8425.40,7871.83,782.867,,
D6,12_17,Rota,Unknown,19.22,0.130,7318.26,7871.83,782.867,,
D7,12_24,Rota,Unknown,31.19,0.161,7.71e-001,7.10e-001,8.71e-002,,
D8,12_24,Rota,Unknown,31.41,0.161,6.48e-001,7.10e-001,8.71e-002,,
D9,12_31,Rota,Unknown,19.54,0.007,5719.53,5698.97,29.077,,
D10,12_31,Rota,Unknown,19.55,0.007,5678.41,5698.97,29.077,,
D11,12_38,Rota,Unknown,24.20,0.010,161.27,162.18,1.287,,
D12,12_38,Rota,Unknown,24.19,0.010,163.09,162.18,1.287,,
E1,12_2,Rota,Unknown,24.14,0.773,169.37,280.20,156.738,,
E2,12_6,Rota,Unknown,26.40,0.025,29.93,30.35,5.91e-001,,
E3,12_11,Rota,Unknown,25.84,0.250,46.27,40.80,7.747,,
E4,12_11,Rota,Unknown,26.19,0.250,35.32,40.80,7.747,,
E5,12_18,Rota,Unknown,18.94,0.261,9029.09,10501.04,2081.644,,
E6,12_18,Rota,Unknown,18.57,0.261,11972.98,10501.04,2081.644,,
E7,12_25,Rota,Unknown,30.62,0.075,1.19,1.15,6.55e-002,,
E8,12_25,Rota,Unknown,30.72,0.075,1.10,1.15,6.55e-002,,
E9,12_32,Rota,Unknown,20.24,0.246,3349.47,2958.80,552.489,,
E10,12_32,Rota,Unknown,20.59,0.246,2568.13,2958.80,552.489,,
E11,12_39,Rota,Unknown,22.07,0.024,821.94,811.19,15.203,,
E12,12_39,Rota,Unknown,22.11,0.024,800.44,811.19,15.203,,
F1,12_3,Rota,Unknown,24.44,0.200,134.89,121.79,18.537,,
F2,12_6,Rota,Unknown,26.37,0.025,30.76,30.35,5.91e-001,,
F3,12_12,Rota,Unknown,29.31,0.350,3.24,2.73,7.22e-001,,
F4,12_12,Rota,Unknown,29.81,0.350,2.22,2.73,7.22e-001,,
F5,12_19,Rota,Unknown,22.40,0.068,639.32,663.54,34.255,,
F6,12_19,Rota,Unknown,22.31,0.068,687.77,663.54,34.255,,
F7,12_26,Rota,Unknown,29.83,0.435,2.18,1.77,5.79e-001,,
F8,12_26,Rota,Unknown,30.44,0.435,1.36,1.77,5.79e-001,,
F9,12_33,Rota,Unknown,18.16,0.198,16375.26,14796.73,2232.380,,
F10,12_33,Rota,Unknown,18.44,0.198,13218.20,14796.73,2232.380,,
F11,12_40,Rota,Unknown,21.46,0.030,1315.42,1337.47,31.177,,
F12,12_40,Rota,Unknown,21.42,0.030,1359.51,1337.47,31.177,,
G1,12_3,Rota,Unknown,24.72,0.200,108.68,121.79,18.537,,
G2,12_7,Rota,Unknown,30.53,0.351,1.27,1.07,2.85e-001,,
G3,12_13,Rota,Unknown,22.60,0.315,549.88,470.51,112.250,,
G4,12_13,Rota,Unknown,23.05,0.315,391.13,470.51,112.250,,
G5,12_20,Rota,Unknown,34.90,0.067,4.49e-002,4.33e-002,2.24e-003,,
G6,12_20,Rota,Unknown,35.00,0.067,4.17e-002,4.33e-002,2.24e-003,,
G7,12_27,Rota,Unknown,25.68,0.254,52.16,45.90,8.851,,
G8,12_27,Rota,Unknown,26.04,0.254,39.64,45.90,8.851,,
G9,12_34,Rota,Unknown,21.81,0.054,1007.94,1038.10,42.643,,
G10,12_34,Rota,Unknown,21.73,0.054,1068.25,1038.10,42.643,,
G11,12_41,Rota,Unknown,22.09,0.066,814.98,845.19,42.728,,
G12,12_41,Rota,Unknown,21.99,0.066,875.41,845.19,42.728,,
H1,12_4,Rota,Unknown,24.52,0.015,126.16,127.18,1.438,,
H2,12_7,Rota,Unknown,31.03,0.351,8.70e-001,1.07,2.85e-001,,
H3,12_14,Rota,Unknown,27.65,0.103,11.55,10.94,8.63e-001,,
H4,12_14,Rota,Unknown,27.80,0.103,10.33,10.94,8.63e-001,,
H5,12_21,Rota,Unknown,21.43,0.013,1341.37,1332.34,12.773,,
H6,12_21,Rota,Unknown,21.45,0.013,1323.31,1332.34,12.773,,
H7,12_28,Rota,Unknown,27.39,0.006,14.06,14.02,6.10e-002,,
H8,12_28,Rota,Unknown,27.40,0.006,13.98,14.02,6.10e-002,,
H9,12_35,Rota,Unknown,23.29,0.351,324.43,399.31,105.891,,
H10,12_35,Rota,Unknown,22.79,0.351,474.19,399.31,105.891,,
