Document Name: thika_3.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Sunday, January 13, 2019 13:34:56
Last Modified: Tuesday, February 05, 2019 13:56:07
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
G8,12_109,Rota,Unknown,29.49,0.179,1.76,2.02,3.66e-001,,
G9,12_110,Rota,Unknown,28.93,0.044,3.12,3.03,1.36e-001,,
G10,12_110,Rota,Unknown,28.99,0.044,2.93,3.03,1.36e-001,,
G11,12_111,Rota,Unknown,25.26,0.171,132.29,150.84,26.236,,
G12,12_111,Rota,Unknown,25.02,0.171,169.39,150.84,26.236,,
H1,12_112,Rota,Unknown,21.62,0.034,5421.95,5559.48,194.500,,
H2,12_112,Rota,Unknown,21.58,0.034,5697.01,5559.48,194.500,,
H3,12_113,Rota,Unknown,24.06,0.182,449.65,517.08,95.362,,
H4,12_113,Rota,Unknown,23.81,0.182,584.51,517.08,95.362,,
H5,12_114,Rota,Unknown,22.01,0.034,3649.32,3741.92,130.948,,
H6,12_114,Rota,Unknown,21.96,0.034,3834.51,3741.92,130.948,,
H7,12_115,Rota,Unknown,21.21,0.091,8283.37,7775.75,717.875,,
H8,12_115,Rota,Unknown,21.34,0.091,7268.14,7775.75,717.875,,
H9,12_116,Rota,Unknown,27.69,0.174,11.08,12.66,2.236,,
H10,12_116,Rota,Unknown,27.44,0.174,14.24,12.66,2.236,,
H11,,Rota,NTC,Undetermined,,,,,,
