Document Name: thog_4.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Monday, January 28, 2019 15:46:31
Last Modified: Monday, February 04, 2019 16:35:27
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,50.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,,Rota,Standard,3.24,,1.00e+010,,,,
A2,,Rota,Standard,3.24,,1.00e+010,,,,
A3,,Rota,Standard,12.86,,1.00e+008,,,,
A4,,Rota,Standard,13.26,,1.00e+008,,,,
A5,,Rota,Standard,20.40,,1.00e+006,,,,
A6,,Rota,Standard,20.24,,1.00e+006,,,,
A7,,Rota,Standard,26.48,,10000.00,,,,
A8,,Rota,Standard,26.18,,10000.00,,,,
A9,,Rota,Standard,32.20,,100.00,,,,
A10,,Rota,Standard,31.48,,100.00,,,,
A11,,Rota,NTC,31.97,,,,,,
A12,,Rota,NTC,32.95,,,,,,
B1,12_127,Rota,Unknown,25.82,0.115,11278.03,11909.37,892.843,,
B2,12_127,Rota,Unknown,25.66,0.115,12540.71,11909.37,892.843,,
B3,12_128,Rota,Unknown,Undetermined,,,,,,
B4,12_128,Rota,Unknown,Undetermined,,,,,,
B5,12_129,Rota,Unknown,35.65,,18.34,,,,
B6,12_129,Rota,Unknown,Undetermined,,,,,,
B7,12_130,Rota,Unknown,36.14,2.184,13.31,7.54,8.161,,
B8,12_130,Rota,Unknown,39.22,2.184,1.77,7.54,8.161,,
B9,12_131,Rota,Unknown,21.25,0.037,223834.38,227675.98,5432.856,,
B10,12_131,Rota,Unknown,21.20,0.037,231517.59,227675.98,5432.856,,
B11,13_132,Rota,Unknown,25.35,,15365.08,,,,
B12,12_132,Rota,Unknown,25.05,,18706.81,,,,
C1,12_133,Rota,Unknown,21.30,0.038,216310.38,212573.52,5284.717,,
C2,12_133,Rota,Unknown,21.35,0.038,208836.66,212573.52,5284.717,,
C3,12_134,Rota,Unknown,30.97,0.139,388.81,415.44,37.664,,
C4,12_134,Rota,Unknown,30.78,0.139,442.07,415.44,37.664,,
C5,12_135,Rota,Unknown,Undetermined,,,,,,
C6,12_135,Rota,Unknown,37.85,,4.35,,,,
C7,12_136,Rota,Unknown,28.00,0.213,2712.67,3007.84,417.431,,
C8,12_136,Rota,Unknown,27.70,0.213,3303.01,3007.84,417.431,,
C9,12_137,Rota,Unknown,43.05,,1.45e-001,,,,
C10,12_137,Rota,Unknown,Undetermined,,,,,,
C11,12_138,Rota,Unknown,Undetermined,,,,,,
C12,12_138,Rota,Unknown,41.65,,3.61e-001,,,,
D1,12_139,Rota,Unknown,32.21,1.299,173.38,112.77,85.710,,
D2,12_139,Rota,Unknown,34.05,1.299,52.17,112.77,85.710,,
D3,12_140,Rota,Unknown,37.65,0.751,4.93,3.70,1.745,,
D4,12_140,Rota,Unknown,38.72,0.751,2.46,3.70,1.745,,
D5,12_141,Rota,Unknown,Undetermined,,,,,,
D6,12_141,Rota,Unknown,36.53,,10.31,,,,
D7,12_142,Rota,Unknown,Undetermined,,,,,,
D8,12_142,Rota,Unknown,Undetermined,,,,,,
D9,12_143,Rota,Unknown,39.23,,1.76,,,,
D10,12_143,Rota,Unknown,Undetermined,,,,,,
D11,12_144,Rota,Unknown,38.40,,3.03,,,,
D12,12_144,Rota,Unknown,Undetermined,,,,,,
E1,12_145,Rota,Unknown,Undetermined,,,,,,
E2,12_145,Rota,Unknown,Undetermined,,,,,,
E3,12_146,Rota,Unknown,37.01,1.333,7.51,4.85,3.761,,
E4,12_146,Rota,Unknown,38.90,1.333,2.19,4.85,3.761,,
E5,12_147,Rota,Unknown,34.83,3.750,31.19,16.08,21.367,,
E6,12_147,Rota,Unknown,40.14,3.750,9.75e-001,16.08,21.367,,
E7,12_148,Rota,Unknown,33.25,1.583,87.55,53.91,47.581,,
E8,12_148,Rota,Unknown,35.49,1.583,20.26,53.91,47.581,,
E9,12_149,Rota,Unknown,Undetermined,,,,,,
E10,12_149,Rota,Unknown,Undetermined,,,,,,
E11,12_150,Rota,Unknown,Undetermined,,,,,,
E12,12_150,Rota,Unknown,36.00,,14.56,,,,
F1,13_1,Rota,Unknown,34.70,0.961,34.12,24.08,14.199,,
F2,13_1,Rota,Unknown,36.05,0.961,14.03,24.08,14.199,,
F3,13_2,Rota,Unknown,35.77,4.223,16.92,8.63,11.726,,
F4,13_2,Rota,Unknown,41.74,4.223,3.41e-001,8.63,11.726,,
F5,13_3,Rota,Unknown,33.49,0.388,75.02,63.72,15.987,,
F6,13_3,Rota,Unknown,34.04,0.388,52.41,63.72,15.987,,
F7,13_4,Rota,Unknown,35.85,0.749,16.04,12.03,5.667,,
F8,13_4,Rota,Unknown,36.91,0.749,8.03,12.03,5.667,,
F9,13_5,Rota,Unknown,Undetermined,,,,,,
F10,13_5,Rota,Unknown,38.54,,2.77,,,,
F11,13_6,Rota,Unknown,35.35,0.944,22.19,15.73,9.133,,
F12,13_6,Rota,Unknown,36.69,0.944,9.27,15.73,9.133,,
G1,13_7,Rota,Unknown,35.01,0.694,27.78,40.28,17.678,,
G2,13_7,Rota,Unknown,34.03,0.694,52.78,40.28,17.678,,
G3,13_8,Rota,Unknown,34.55,0.540,37.44,30.08,10.408,,
G4,13_8,Rota,Unknown,35.32,0.540,22.72,30.08,10.408,,
G5,13_9,Rota,Unknown,32.19,2.080,175.89,100.80,106.187,,
G6,13_9,Rota,Unknown,35.13,2.080,25.71,100.80,106.187,,
G7,13_10,Rota,Unknown,33.31,0.399,84.27,71.26,18.395,,
G8,13_10,Rota,Unknown,33.88,0.399,58.26,71.26,18.395,,
G9,13_11,Rota,Unknown,33.56,2.543,71.56,39.19,45.774,,
G10,13_11,Rota,Unknown,37.16,2.543,6.82,39.19,45.774,,
G11,13_12,Rota,Unknown,34.31,0.302,43.82,50.87,9.966,,
G12,13_12,Rota,Unknown,33.89,0.302,57.91,50.87,9.966,,
H1,13_13,Rota,Unknown,39.56,3.907,1.42,26.93,36.080,,
H2,13_13,Rota,Unknown,34.04,3.907,52.44,26.93,36.080,,
H3,13_14,Rota,Unknown,33.73,0.103,64.17,61.26,4.118,,
H4,13_14,Rota,Unknown,33.87,0.103,58.34,61.26,4.118,,
H5,13_15,Rota,Unknown,32.65,0.293,130.12,114.71,21.798,,
H6,13_15,Rota,Unknown,33.06,0.293,99.30,114.71,21.798,,
H7,13_16,Rota,Unknown,33.53,0.607,73.08,100.55,38.857,,
H8,13_16,Rota,Unknown,32.67,0.607,128.03,100.55,38.857,,
H9,13_17,Rota,Unknown,32.66,1.976,129.06,74.92,76.570,,
H10,13_17,Rota,Unknown,35.45,1.976,20.78,74.92,76.570,,
H11,13_18,Rota,Unknown,34.18,0.035,47.91,47.14,1.082,,
H12,13_18,Rota,Unknown,34.23,0.035,46.38,47.14,1.082,,
